instance_file,serial_len,serial_gap,island-fixed_len,island-fixed_gap,island-dtam_len,island-dtam_gap,parallel_vs_serial_pct
a280,2639.5,2.346,2602.0,0.892,2606.0,1.047,-1.42
berlin52,7542.0,0.0,7542.0,0.0,7542.0,0.0,0.0
ch150,6557.5,0.452,6571.0,0.659,6577.5,0.758,0.21
eil51,426.0,0.0,426.0,0.0,426.0,0.0,0.0
kroA100,21282.0,0.0,21282.0,0.0,21282.0,0.0,0.0
kroA200,29566.0,0.674,29491.5,0.421,29494.5,0.431,-0.25
st70,675.0,0.0,675.0,0.0,675.0,0.0,0.0
