exp,engine,mode,threads,islands,time_s,speedup,efficiency,lb_ceiling,eff_vs_lb,karp_flatt,amdahl_f,amdahl_ceiling
E1,opt,island-dtam,1,8,5.304,1.0,1.0,1.0,1.0,,0.1778,5.62
E1,opt,island-dtam,2,8,2.814,1.8849,0.9424,2.0,0.9424,0.0611,0.1778,5.62
E1,opt,island-dtam,3,8,2.255,2.3521,0.784,2.667,0.882,0.1377,0.1778,5.62
E1,opt,island-dtam,4,8,1.758,3.0171,0.7543,4.0,0.7543,0.1086,0.1778,5.62
E1,opt,island-dtam,6,8,1.984,2.6734,0.4456,4.0,0.6683,0.2489,0.1778,5.62
E1,opt,island-dtam,8,8,1.437,3.691,0.4614,8.0,0.4614,0.1668,0.1778,5.62
E1,opt,island-fixed,1,8,4.24,1.0,1.0,1.0,1.0,,0.1546,6.47
E1,opt,island-fixed,2,8,2.162,1.9611,0.9806,2.0,0.9806,0.0198,0.1546,6.47
E1,opt,island-fixed,3,8,1.706,2.4853,0.8284,2.667,0.932,0.1035,0.1546,6.47
E1,opt,island-fixed,4,8,1.284,3.3022,0.8255,4.0,0.8255,0.0704,0.1546,6.47
E1,opt,island-fixed,6,8,1.498,2.8304,0.4717,4.0,0.7076,0.224,0.1546,6.47
E1,opt,island-fixed,8,8,1.08,3.9259,0.4907,8.0,0.4907,0.1482,0.1546,6.47
