generation,elapsed,best_len,gap,diversity,migrations
10,0.0302711,18267.7,14.6766,0.18485,0
20,0.0642731,18123.8,13.7735,0.0446917,3
30,0.0926402,17894.9,12.3364,0.00723333,11
40,0.127889,17857.9,12.1041,0.00149167,19
50,0.165729,17852.3,12.0688,0.00385833,27
60,0.198863,17759,11.4832,0.00724167,35
70,0.234318,17715.1,11.208,0.002675,43
80,0.267126,17715.1,11.208,0.00274167,52
90,0.305083,17676.7,10.9666,0.00254167,59
100,0.340716,17676.7,10.9666,0.00243333,67
110,0.367924,17676.7,10.9666,0.002475,75
120,0.395209,17676.7,10.9666,0.00246667,83
130,0.425037,17645,10.7676,0.00311667,91
140,0.450305,17645,10.7676,0.00195,99
150,0.479678,17582,10.3718,0.00285,107
160,0.509813,17547.2,10.1535,0.00386667,115
170,0.544048,17533.8,10.0697,0.00324167,123
180,0.585409,17525.6,10.0181,0.00885,131
190,0.616321,17509.8,9.9191,0.00403333,139
200,0.643409,17410.3,9.29428,0.00571667,147
210,0.66882,17358.3,8.96782,0.0011,155
220,0.701245,17358.3,8.96782,0.00306667,163
230,0.732089,17350.3,8.91735,0.00171667,171
240,0.760247,17344.9,8.88339,0.00285,179
250,0.790335,17344.9,8.88339,0.00156667,187
260,0.82992,17336.9,8.83359,0.002175,195
270,0.859041,17328.8,8.7829,0.00353333,203
280,0.88443,17325.8,8.76393,0.00259167,211
290,0.914003,17321.2,8.73481,0.00233333,219
300,0.949154,17304.2,8.62827,0.0017,227
310,0.983165,17304.2,8.62827,0.001825,235
320,1.01551,17304.2,8.62827,0.00130833,243
330,1.05042,17304.2,8.62827,0.002525,251
340,1.08219,17293,8.5582,0.00348333,259
350,1.11011,17293,8.5582,0.00215,267
360,1.13632,17293,8.5582,0.00210833,275
370,1.165,17293,8.5582,0.00235,283
380,1.1938,17292.8,8.55648,0.002325,291
390,1.22613,17292.8,8.55648,0.002125,299
400,1.26078,17292.8,8.55648,0.001925,307
410,1.30233,17292.8,8.55648,0.00268333,315
420,1.33999,17292.8,8.55648,0.00145833,323
430,1.37185,17292.8,8.55648,0.00171667,331
440,1.41468,17292.8,8.55648,0.00230833,339
450,1.45387,17292.8,8.55648,0.00191667,347
460,1.49973,17292.8,8.55648,0.00208333,355
470,1.54011,17292.8,8.55648,0.00210833,363
480,1.56815,17292.8,8.55648,0.00135,371
490,1.59649,17292.8,8.55648,0.002,379
500,1.6255,17292.8,8.55648,0.00154167,387
510,1.65261,17292.8,8.55648,0.00160833,395
520,1.68021,17292.8,8.55648,0.00219167,403
530,1.70942,17292.8,8.55648,0.00189167,411
540,1.74656,17292.8,8.55648,0.00264167,419
550,1.77704,17292.8,8.55648,0.00186667,427
560,1.80831,17292.8,8.55648,0.00161667,435
570,1.84423,17292.8,8.55648,0.00173333,443
580,1.87803,17292.8,8.55648,0.001675,451
590,1.90996,17292.8,8.55648,0.001725,459
600,1.94704,17289.2,8.53376,0.002425,467
610,1.97921,17286,8.51392,0.0026,475
620,2.00835,17286,8.51392,0.00193333,483
630,2.04751,17286,8.51392,0.002275,491
640,2.08377,17286,8.51392,0.00495833,500
650,2.1241,17286,8.51392,0.00211667,507
660,2.15807,17286,8.51392,0.00189167,515
670,2.19506,17286,8.51392,0.00196667,523
680,2.23028,17286,8.51392,0.00285833,531
690,2.27162,17286,8.51392,0.001425,539
700,2.30602,17286,8.51392,0.000941667,547
710,2.33848,17286,8.51392,0.00201667,555
720,2.3769,17286,8.51392,0.001575,563
730,2.41171,17286,8.51392,0.00210833,571
740,2.44499,17286,8.51392,0.00229167,579
750,2.47874,17286,8.51392,0.00135833,587
760,2.53022,17286,8.51392,0.00225833,595
770,2.59553,17286,8.51392,0.00164167,603
780,2.68678,17286,8.51392,0.001825,611
790,2.75072,17286,8.51392,0.00223333,619
800,2.7982,17275.3,8.44661,0.00256667,627
810,2.88812,17262.2,8.36483,0.00276667,635
820,2.95938,17262.2,8.36483,0.00173333,644
830,3.05341,17262.2,8.36483,0.002025,651
