generation,elapsed,best_len,gap,diversity,migrations
5,0.414854,18501,16.1411,0.424142,0
10,0.517437,18268.3,14.6807,0.406158,0
15,0.798955,17865.6,12.1522,0.350067,0
20,1.02831,17650.8,10.8042,0.32695,0
25,1.12401,17650.8,10.8042,0.307258,0
30,1.21151,17650.8,10.8042,0.304033,0
35,1.28413,17650.8,10.8042,0.286333,0
40,1.35061,17623.5,10.6326,0.2504,0
45,1.41472,17623.5,10.6326,0.259625,0
50,1.5401,17623.5,10.6326,0.291608,0
55,2.11327,17623.5,10.6326,0.262142,0
60,2.37844,17623.5,10.6326,0.280783,0
65,2.45775,17623.5,10.6326,0.255192,0
70,2.51048,17623.5,10.6326,0.260083,0
75,2.56189,17583.1,10.3792,0.302933,0
80,2.61659,17546,10.1463,0.26085,0
85,2.67401,17517,9.96417,0.226742,0
90,2.72476,17517,9.96417,0.211892,0
95,2.78096,17399.5,9.22647,0.274983,0
100,2.83938,17399.5,9.22647,0.2942,0
105,2.89414,17399.5,9.22647,0.260942,0
110,2.94037,17399.5,9.22647,0.248292,0
115,2.99476,17399.5,9.22647,0.249683,0
