generation,elapsed,best_len,gap,diversity,migrations
10,0.034059,17930.6,12.5606,0.165742,0
20,0.0704689,17649.4,10.7952,0.0572833,5
30,0.103193,17605.5,10.5196,0.0341,13
40,0.133054,17442.2,9.49446,0.0178,21
50,0.174382,17144,7.62276,0.0132917,29
60,0.218657,17138.9,7.59066,0.00924167,37
70,0.275734,17138.9,7.59066,0.00206667,45
80,0.308676,17138.9,7.59066,0.003075,53
90,0.354085,17127.6,7.51951,0.00200833,61
100,0.388347,16978.3,6.58249,0.00700833,69
110,0.420852,16929.8,6.27762,0.00464167,77
120,0.45714,16929.8,6.27762,0.00366667,85
130,0.494151,16916.8,6.19628,0.00193333,93
140,0.520092,16916.8,6.19628,0.00174167,101
150,0.550169,16916.8,6.19628,0.00234167,109
160,0.587473,16867.8,5.88851,0.00315,117
170,0.623413,16866.2,5.87844,0.00210833,125
180,0.658499,16851.9,5.78861,0.00253333,133
190,0.691816,16847.9,5.76358,0.00481667,141
200,0.726894,16834.3,5.67867,0.00236667,149
210,0.760155,16834.3,5.67867,0.00174167,157
220,0.801494,16819.6,5.58625,0.00244167,165
230,0.837396,16819.6,5.58625,0.00175,173
240,0.865451,16819.6,5.58625,0.0028,181
250,0.895205,16819.6,5.58625,0.001725,189
260,0.928733,16808.7,5.51754,0.0028,197
270,0.960674,16804.7,5.49238,0.00241667,205
280,0.994293,16782.9,5.3559,0.00385833,213
290,1.0325,16782.9,5.3559,0.00185,221
300,1.05863,16782.9,5.3559,0.00245833,229
310,1.08469,16782.9,5.3559,0.00186667,237
320,1.11697,16759.2,5.20669,0.00131667,245
330,1.14733,16759.2,5.20669,0.00210833,253
340,1.18112,16759.2,5.20669,0.00201667,261
350,1.21277,16737.6,5.07155,0.002575,269
360,1.2464,16737.6,5.07155,0.0022,277
370,1.28692,16737.6,5.07155,0.00189167,285
380,1.32696,16737.6,5.07155,0.00223333,293
390,1.3685,16737.6,5.07155,0.00221667,301
400,1.40609,16737.6,5.07155,0.00229167,309
410,1.44336,16737.6,5.07155,0.002325,317
420,1.47359,16737.6,5.07155,0.00125,325
430,1.50576,16712.5,4.91389,0.00278333,333
440,1.5433,16696.3,4.81212,0.00258333,341
450,1.58121,16696.3,4.81212,0.00228333,349
460,1.62284,16696.3,4.81212,0.001925,357
470,1.66602,16696.3,4.81212,0.001925,365
480,1.70503,16696.3,4.81212,0.00154167,373
490,1.76115,16696.3,4.81212,0.00211667,381
500,1.81249,16696.3,4.81212,0.002225,390
510,1.85465,16696.3,4.81212,0.00168333,397
520,1.89179,16696.3,4.81212,0.00224167,405
530,1.92882,16696.3,4.81212,0.00278333,413
540,1.96261,16696.3,4.81212,0.00184167,421
550,2.00115,16696.3,4.81212,0.00196667,429
560,2.03856,16696.3,4.81212,0.00205,437
570,2.07914,16696.3,4.81212,0.0021,445
580,2.11668,16696.3,4.81212,0.00188333,453
590,2.15692,16696.3,4.81212,0.00158333,461
600,2.18258,16696.3,4.81212,0.00148333,469
610,2.21433,16681.8,4.72125,0.00315,477
620,2.24125,16681.8,4.72125,0.002275,485
630,2.27496,16681.8,4.72125,0.00318333,493
640,2.31187,16681.8,4.72125,0.00605833,501
650,2.34947,16680.2,4.71117,0.00238333,509
660,2.39227,16680.2,4.71117,0.003025,517
670,2.42944,16680.2,4.71117,0.00201667,525
680,2.4678,16680.2,4.71117,0.00265,533
690,2.5095,16680.2,4.71117,0.00146667,541
700,2.54951,16680.2,4.71117,0.00126667,549
710,2.60164,16680.2,4.71117,0.00186667,557
720,2.64663,16680.2,4.71117,0.0019,565
730,2.69801,16680.2,4.71117,0.00194167,573
740,2.73825,16680.2,4.71117,0.00206667,581
750,2.77531,16680.2,4.71117,0.0017,589
760,2.81269,16680.2,4.71117,0.0018,597
770,2.85306,16668.6,4.63842,0.00445833,605
780,2.88043,16668.6,4.63842,0.00974167,613
790,2.92218,16668.6,4.63842,0.00179167,621
800,2.95099,16668.6,4.63842,0.00220833,629
810,2.98223,16668.6,4.63842,0.0019,637
820,3.01686,16668.6,4.63842,0.001425,645
