generation,elapsed,best_len,gap,diversity,migrations
10,0.0365589,17732.4,11.316,0.181517,0
20,0.0706501,17356.8,8.95824,0.0816167,5
30,0.105315,17227,8.14346,0.063025,13
40,0.141399,17146.9,7.6409,0.0521,20
50,0.178561,17122.6,7.48837,0.0279083,27
60,0.221345,17072.5,7.17372,0.0145333,34
70,0.266308,17036,6.94471,0.00236667,42
80,0.30998,16995.9,6.69278,0.0066,50
90,0.365113,16948.5,6.39554,0.00375833,58
100,0.399843,16898.8,6.08323,0.00193333,66
110,0.43723,16851.4,5.78599,0.00193333,74
120,0.481842,16815,5.55698,0.00290833,82
130,0.519964,16773,5.29377,0.00326667,90
140,0.55603,16767.9,5.26161,0.0017,98
150,0.642212,16720.6,4.96437,0.00289167,106
160,0.967718,16705.1,4.86742,0.00289167,115
170,1.21337,16705.1,4.86742,0.00225,122
180,1.3307,16700.9,4.84106,0.00295,130
190,1.57143,16655.9,4.55816,0.0051,138
200,2.3217,16647.4,4.5049,0.00765,146
210,2.82449,16601.8,4.21886,0.00288333,154
220,3.10437,16572,4.03167,0.00248333,162
