generation,elapsed,best_len,gap,diversity,migrations
10,0.046628,18259,14.6223,0.157317,0
20,0.0917668,17995.4,12.9674,0.0193333,5
30,0.132159,17995.4,12.9674,0.0255833,13
40,0.174676,17995.4,12.9674,0.00779167,20
50,0.218811,17915.6,12.4665,0.00753333,28
60,0.263421,17770.3,11.5544,0.0399417,35
70,0.307177,17625,10.6418,0.00684167,43
80,0.348073,17609.9,10.5471,0.002675,51
90,0.406952,17609.9,10.5471,0.00229167,59
100,0.447004,17574.8,10.327,0.00255833,67
110,0.490974,17514.7,9.94984,0.00575833,75
120,0.53784,17426.8,9.39776,0.00343333,83
130,0.579585,17372.3,9.05585,0.004825,91
140,0.624009,17290,8.53903,0.00330833,99
150,0.672801,17238.7,8.2173,0.00244167,107
160,0.724746,17234.8,8.19228,0.00233333,115
170,0.777053,17232,8.17525,0.00215833,123
180,0.824123,17232,8.17525,0.001925,131
190,0.867795,17205.3,8.00741,0.00170833,139
200,0.914499,17205.3,8.00741,0.0021,147
210,0.977781,17194.8,7.94173,0.00165,155
220,1.04769,17170.9,7.79163,0.00249167,163
230,1.10165,17170.9,7.79163,0.0018,172
240,1.14315,17170.9,7.79163,0.00196667,179
250,1.18389,17170.9,7.79163,0.00164167,187
260,1.22979,17170.9,7.79163,0.002125,195
270,1.27932,17132.5,7.55034,0.00355,203
280,1.32255,17125,7.50353,0.003225,211
290,1.36635,17094.2,7.30995,0.00190833,219
300,1.4081,17094.2,7.30995,0.00194167,227
310,1.45034,17094.2,7.30995,0.001975,235
320,1.49156,17094.2,7.30995,0.00140833,243
330,1.53017,17094.2,7.30995,0.002075,251
340,1.57668,17094.2,7.30995,0.00220833,259
350,1.6146,17094.2,7.30995,0.00139167,267
360,1.65871,17094.2,7.30995,0.001675,275
370,1.70141,17079.6,7.21851,0.0017,283
380,1.74392,17079.6,7.21851,0.00234167,291
390,1.79039,17079.6,7.21851,0.0015,299
400,1.8416,17079.6,7.21851,0.00223333,307
410,1.89059,17079.6,7.21851,0.00221667,315
420,1.93165,17051.3,7.04059,0.00205833,323
430,1.96484,17051.3,7.04059,0.0018,331
440,2.00585,17051.3,7.04059,0.00223333,339
450,2.0595,17051.3,7.04059,0.00193333,347
460,2.10133,17051.3,7.04059,0.00225,355
470,2.14336,17051.3,7.04059,0.00149167,363
480,2.19052,17037.6,6.9544,0.00264167,371
490,2.23796,17037.6,6.9544,0.00313333,379
500,2.28263,17037.6,6.9544,0.002075,387
510,2.32371,17037.6,6.9544,0.00145,395
520,2.37007,17018.2,6.83298,0.00175,403
530,2.42136,17018.2,6.83298,0.00175833,411
540,2.45979,17018.2,6.83298,0.00174167,419
550,2.50622,17008.9,6.77439,0.00171667,427
560,2.55471,16983.1,6.61219,0.00249167,435
570,2.60173,16983.1,6.61219,0.00179167,444
580,2.64492,16983.1,6.61219,0.00146667,451
590,2.69356,16983.1,6.61219,0.00155,459
600,2.73355,16983.1,6.61219,0.00169167,468
610,2.77708,16983.1,6.61219,0.00214167,475
620,2.81714,16950.2,6.40573,0.00324167,483
630,2.86119,16950.2,6.40573,0.002075,491
640,2.90071,16950.2,6.40573,0.001225,499
650,2.94258,16950.2,6.40573,0.002525,507
660,2.98832,16950.2,6.40573,0.00176667,515
670,3.02415,16950.2,6.40573,0.00176667,523
