generation,elapsed,best_len,gap,diversity,migrations
10,0.0222211,17732.4,11.316,0.181517,2
20,0.0441351,17110.3,7.41073,0.0459,9
30,0.0627151,17092.8,7.30108,0.0141,17
40,0.0802121,17061.3,7.10317,0.002775,25
50,0.101582,17035.2,6.9394,0.006025,33
60,0.119446,16891.2,6.0353,0.00906667,41
70,0.141498,16874.6,5.93128,0.00208333,49
80,0.164826,16865.4,5.87349,0.00566667,57
90,0.184131,16863.1,5.85922,0.00229167,66
100,0.202288,16823.7,5.61166,0.00195,73
110,0.222613,16794.5,5.42828,0.0034,81
120,0.242625,16778.9,5.3306,0.00310833,89
130,0.263669,16764.2,5.23864,0.00259167,97
140,0.283179,16764.2,5.23864,0.00181667,105
150,0.30459,16684.9,4.74028,0.00390833,113
160,0.325009,16684.9,4.74028,0.006775,121
170,0.3462,16684.9,4.74028,0.00146667,129
180,0.365383,16641.6,4.46863,0.00170833,137
190,0.383011,16641.6,4.46863,0.00305,145
200,0.401769,16629.4,4.39233,0.00181667,153
210,0.421663,16629.4,4.39233,0.001525,161
220,0.442828,16629.4,4.39233,0.00235,169
230,0.463966,16629.4,4.39233,0.00151667,177
240,0.485094,16629.4,4.39233,0.00233333,185
250,0.505367,16629.4,4.39233,0.00151667,193
260,0.528419,16629.4,4.39233,0.001875,201
270,0.549303,16599.5,4.20419,0.00229167,209
280,0.56881,16599.5,4.20419,0.00243333,217
290,0.58962,16599.5,4.20419,0.002725,225
300,0.609636,16599.5,4.20419,0.00221667,233
310,0.629094,16594.6,4.17357,0.00190833,241
320,0.648916,16594.6,4.17357,0.001675,250
330,0.669253,16594.6,4.17357,0.00223333,257
340,0.688804,16594.6,4.17357,0.00193333,265
350,0.707075,16561.3,3.96474,0.00261667,273
360,0.726,16561.3,3.96474,0.00196667,281
370,0.748359,16561.3,3.96474,0.00253333,289
380,0.766667,16555.6,3.92879,0.0029,297
390,0.79199,16555.6,3.92879,0.00151667,305
400,0.815843,16552,3.9062,0.002575,313
410,0.8588,16547.8,3.87983,0.00305833,321
420,0.950854,16547.8,3.87983,0.00126667,329
430,1.01841,16496.1,3.55524,0.00205833,337
440,1.06097,16492.5,3.53265,0.00166667,345
450,1.09662,16488.3,3.50629,0.00170833,353
460,1.12242,16488.3,3.50629,0.00263333,361
470,1.15259,16488.1,3.50505,0.00163333,369
480,1.18514,16488.1,3.50505,0.00139167,377
490,1.21773,16483.9,3.47868,0.00176667,385
500,1.25978,16466.1,3.36671,0.00278333,393
510,1.29866,16466.1,3.36671,0.00178333,401
520,1.34173,16466.1,3.36671,0.00260833,409
530,1.38808,16466.1,3.36671,0.00275,417
540,1.4285,16461.7,3.33911,0.00196667,425
550,1.47404,16461.7,3.33911,0.00169167,433
560,1.51938,16461.7,3.33911,0.00180833,441
570,1.56365,16460.4,3.33116,0.002325,449
580,1.60678,16456.8,3.30857,0.00235833,457
590,1.64052,16456.8,3.30857,0.00170833,466
600,1.67961,16456.8,3.30857,0.00174167,473
610,1.72081,16456.8,3.30857,0.002225,481
620,1.75728,16456.8,3.30857,0.00215,489
630,1.80054,16456.8,3.30857,0.00246667,497
640,1.83651,16456.8,3.30857,0.005975,505
650,1.87525,16437.8,3.18962,0.0031,513
660,1.91841,16437.8,3.18962,0.00155,521
670,1.95628,16437.8,3.18962,0.00175,529
680,1.99975,16437.8,3.18962,0.00294167,537
690,2.03659,16437.8,3.18962,0.00170833,545
700,2.0771,16437.8,3.18962,0.001225,553
710,2.12119,16437.8,3.18962,0.00168333,561
720,2.15834,16437.8,3.18962,0.00133333,569
730,2.19645,16437.8,3.18962,0.00185,577
740,2.23507,16437.8,3.18962,0.00225,585
750,2.27626,16437.8,3.18962,0.001775,593
760,2.3187,16410,3.01494,0.00290833,601
770,2.35512,16395.2,2.92169,0.00164167,609
780,2.39074,16395.2,2.92169,0.00191667,617
790,2.43452,16395.2,2.92169,0.00185,625
800,2.47093,16395.2,2.92169,0.002225,633
810,2.51086,16395.2,2.92169,0.00188333,641
820,2.5484,16389.5,2.88632,0.00263333,649
830,2.58802,16389.5,2.88632,0.00195833,657
840,2.63007,16389.5,2.88632,0.00240833,665
850,2.66875,16389.5,2.88632,0.00124167,673
860,2.7101,16389.5,2.88632,0.00309167,681
870,2.74859,16389.5,2.88632,0.00284167,689
880,2.79059,16389.5,2.88632,0.00229167,697
890,2.82806,16365.5,2.73527,0.003625,705
900,2.86679,16365.5,2.73527,0.00151667,713
910,2.90583,16365.5,2.73527,0.00164167,721
920,2.95001,16365.5,2.73527,0.00201667,729
930,2.9907,16365.5,2.73527,0.00215,737
940,3.03474,16365.5,2.73527,0.00174167,745
