generation,elapsed,best_len,gap,diversity,migrations
10,0.0284772,18461.9,15.8955,0.212808,0
20,0.0579801,18069,13.4294,0.0728083,2
30,0.086256,17869.3,12.1758,0.0123083,9
40,0.122327,17869.3,12.1758,0.007725,17
50,0.163779,17801.2,11.7482,0.00186667,25
60,0.208259,17754.4,11.4546,0.003625,33
70,0.251957,17753.4,11.4482,0.00615,41
80,0.292331,17719.7,11.2365,0.00196667,50
90,0.328091,17719.7,11.2365,0.00221667,57
100,0.368375,17657.7,10.8475,0.00243333,65
110,0.407468,17628,10.661,0.001525,73
120,0.440475,17628,10.661,0.00158333,81
130,0.477634,17598.4,10.4751,0.00255,89
140,0.512707,17588.6,10.4138,0.00244167,97
150,0.550646,17588.6,10.4138,0.00308333,105
160,0.589874,17588.6,10.4138,0.00264167,113
170,0.626412,17581.1,10.3663,0.00385,121
180,0.66715,17464.2,9.63268,0.00385,130
190,0.718015,17447.2,9.52602,0.00241667,137
200,0.769606,17424.6,9.38384,0.00255,145
210,0.807417,17394.5,9.19485,0.00148333,153
220,0.844644,17394.5,9.19485,0.0018,161
230,0.891421,17394.5,9.19485,0.00196667,169
240,0.926613,17384.1,9.12997,0.002075,177
250,0.968127,17333.7,8.81359,0.00225,185
260,1.00498,17323,8.74634,0.00273333,193
270,1.04543,17312.7,8.68146,0.00268333,201
280,1.08693,17301.2,8.6096,0.00206667,209
290,1.12265,17277.5,8.46048,0.00191667,217
300,1.15841,17277.5,8.46048,0.00164167,225
310,1.21355,17236.3,8.20221,0.00239167,233
320,1.25253,17236.3,8.20221,0.0011,241
330,1.29457,17236.3,8.20221,0.00245833,249
340,1.33541,17236.3,8.20221,0.00243333,257
350,1.37678,17236.3,8.20221,0.00238333,265
360,1.41891,17236.3,8.20221,0.00174167,273
370,1.45434,17220.4,8.10197,0.00288333,281
380,1.49321,17220.4,8.10197,0.00178333,289
390,1.53001,17220.4,8.10197,0.00159167,297
400,1.57673,17220.4,8.10197,0.00216667,305
410,1.6163,17218.2,8.08807,0.00195833,313
420,1.65727,17218.2,8.08807,0.00138333,321
430,1.69694,17218.2,8.08807,0.00194167,329
440,1.74019,17218.2,8.08807,0.0025,337
450,1.78124,17218.2,8.08807,0.001825,345
460,1.82149,17218.2,8.08807,0.00145,354
470,1.85737,17218.2,8.08807,0.00203333,361
480,1.89064,17218.2,8.08807,0.00109167,369
490,1.927,17214.5,8.06536,0.00226667,377
500,1.96115,17214.5,8.06536,0.00170833,385
510,1.99996,17194.6,7.94027,0.00256667,393
520,2.04065,17178,7.83599,0.00234167,401
530,2.07882,17178,7.83599,0.00135833,409
540,2.11666,17178,7.83599,0.002825,417
550,2.15452,17178,7.83599,0.001725,425
560,2.19589,17170,7.78569,0.00308333,433
570,2.24136,17170,7.78569,0.00143333,441
580,2.27122,17170,7.78569,0.00195,449
590,2.30563,17170,7.78569,0.002,457
600,2.34213,17170,7.78569,0.00188333,465
610,2.37932,17129.8,7.53363,0.001975,473
620,2.41869,17129.8,7.53363,0.00196667,481
630,2.45813,17129.8,7.53363,0.00226667,489
640,2.49868,17129.8,7.53363,0.00226667,497
650,2.53574,17129.8,7.53363,0.00266667,505
660,2.57242,17129.8,7.53363,0.00153333,514
670,2.60677,17129.8,7.53363,0.00164167,521
680,2.64569,17129.8,7.53363,0.00255833,529
690,2.68461,17127.6,7.51987,0.0018,537
700,2.72107,17127.6,7.51987,0.00163333,545
710,2.75359,17120.5,7.47504,0.00208333,553
720,2.79012,17120.5,7.47504,0.00163333,561
730,2.82431,17120.5,7.47504,0.00231667,569
740,2.85837,17120.5,7.47504,0.001725,577
750,2.89703,17116.4,7.44937,0.00259167,585
760,2.92914,17109.7,7.40693,0.00175833,593
770,2.96626,17109.7,7.40693,0.00158333,601
780,3.00907,17109.7,7.40693,0.00134167,609
