mode,engine,instance,n,threads,islands,island_pop,total_pop,generations,seed,twoopt,tau,best_len,gap,total_time,time_to_target,migrations,stag_epochs,island_epochs,valid,exp,epoch_len,reps,t_min,t_med,t_max,t_cv,len_med,canary_drift_pct
island-fixed,opt,uniform500,500,8,8,30,240,4000,2,0,0.15,22745.7,42.7879,4.499,-1,32000,31725,32000,0,E7,1,3,4.499,4.577,4.674,0.015618255899919617,22745.7,40.97
island-fixed,opt,uniform500,500,8,8,30,240,4000,1,0,0.15,24118.8,51.4073,2.765,-1,16000,15859,16000,0,E7,2,3,2.762,2.765,2.815,0.00874186269647782,24118.8,40.97
island-fixed,opt,uniform500,500,8,8,30,240,4000,2,0,0.15,25295.8,58.796,3.025,-1,16000,15839,16000,0,E7,2,3,2.781,2.795,3.025,0.03901952248813603,25295.8,40.97
island-fixed,opt,uniform500,500,8,8,30,240,4000,1,0,0.15,28777.3,80.651,1.75,-1,6400,6366,6400,0,E7,5,3,1.737,1.743,1.75,0.0030472997037302297,28777.3,40.97
island-fixed,opt,uniform500,500,8,8,30,240,4000,2,0,0.15,27994.2,75.7352,1.669,-1,6400,6360,6400,0,E7,5,3,1.669,1.68,1.682,0.003408155078410278,27994.2,40.97
island-fixed,opt,uniform500,500,8,8,30,240,4000,1,0,0.15,32470.1,103.833,1.357,-1,3200,3192,3200,0,E7,10,3,1.357,1.386,1.444,0.025915467928455765,32470.1,40.97
island-fixed,opt,uniform500,500,8,8,30,240,4000,2,0,0.15,34925.1,119.245,1.366,-1,3200,3191,3200,0,E7,10,3,1.366,1.381,1.394,0.008288337262366767,34925.1,40.97
island-fixed,opt,uniform500,500,8,8,30,240,4000,1,0,0.15,38025.3,138.706,1.116,-1,1280,1280,1280,0,E7,25,3,1.108,1.116,1.141,0.012530858034061192,38025.3,40.97
island-fixed,opt,uniform500,500,8,8,30,240,4000,2,0,0.15,39949,150.782,1.13,-1,1280,1279,1280,0,E7,25,3,1.083,1.111,1.13,0.01742290281055384,39949.0,40.97
island-fixed,opt,uniform500,500,8,8,30,240,4000,1,0,0.15,41026.6,157.547,1.056,-1,640,640,640,0,E7,50,3,1.02,1.056,1.084,0.024869471777706983,41026.6,40.97
island-fixed,opt,uniform500,500,8,8,30,240,4000,2,0,0.15,41278.5,159.128,1.084,-1,640,640,640,0,E7,50,3,1.021,1.063,1.084,0.02480265313202429,41278.5,40.97
island-fixed,opt,uniform500,500,8,8,30,240,4000,1,0,0.15,42506.4,166.836,1.042,-1,320,320,320,0,E7,100,3,0.988,1.042,1.042,0.024859222776089585,42506.4,40.97
island-fixed,opt,uniform500,500,8,8,30,240,4000,2,0,0.15,43821.4,175.092,0.992,-1,320,320,320,0,E7,100,3,0.992,1.032,1.041,0.02084519784008258,43821.4,40.97
island-fixed,opt,uniform500,500,8,8,30,240,4000,1,0,0.15,44140.9,177.098,0.932,-1,128,128,128,0,E7,250,3,0.908,0.932,1.025,0.05283550078133131,44140.9,40.97
island-fixed,opt,uniform500,500,8,8,30,240,4000,2,0,0.15,44759.2,180.979,1.009,-1,128,128,128,0,E7,250,3,0.91,1.009,1.042,0.05682797836830863,44759.2,40.97
