mode,engine,instance,n,threads,islands,island_pop,total_pop,generations,seed,twoopt,tau,best_len,gap,total_time,time_to_target,migrations,stag_epochs,island_epochs,valid,exp,landscape,reps,t_min,t_med,t_max,t_cv,len_med,canary_drift_pct
island-dtam,opt,uniform500,500,4,8,30,240,7680,5,0,0.15,21416.2,34.4413,4.002,-1,6135,6135,6144,0,E5,uniform500,1,4.002,4.002,4.002,0.0,21416.2,0.0
island-dtam,opt,uniform500,500,4,8,30,240,8330,6,0,0.15,21030.6,32.0209,4.001,-1,6655,6655,6664,0,E5,uniform500,1,4.001,4.001,4.001,0.0,21030.6,0.0
island-dtam,opt,uniform500,500,4,8,30,240,8370,7,0,0.15,20556.9,29.0471,4,-1,6690,6690,6696,0,E5,uniform500,1,4.0,4.0,4.0,0.0,20556.9,0.0
island-dtam,opt,uniform500,500,4,8,30,240,8240,8,0,0.15,20607.7,29.3662,4,-1,6585,6585,6592,0,E5,uniform500,1,4.0,4.0,4.0,0.0,20607.7,0.0
island-dtam,opt,uniform500,500,4,8,30,240,8160,9,0,0.15,21133.1,32.6641,4.002,-1,6521,6521,6528,0,E5,uniform500,1,4.002,4.002,4.002,0.0,21133.1,0.0
island-dtam,opt,uniform500,500,4,8,30,240,8500,10,0,0.15,20296.5,27.4128,4.002,-1,6786,6786,6800,0,E5,uniform500,1,4.002,4.002,4.002,0.0,20296.5,0.0
island-dtam,opt,uniform500,500,4,8,30,240,7830,11,0,0.15,22112.6,38.8133,4.002,-1,6253,6253,6264,0,E5,uniform500,1,4.002,4.002,4.002,0.0,22112.6,0.0
island-dtam,opt,uniform500,500,4,8,30,240,7240,12,0,0.15,21813,36.9324,4.005,-1,5786,5786,5792,0,E5,uniform500,1,4.005,4.005,4.005,0.0,21813.0,0.0
serial,opt,uniform500,500,1,1,240,240,134,1,1,0.15,17325.6,8.76281,4.012,-1,0,0,0,0,E5,uniform500,1,4.012,4.012,4.012,0.0,17325.6,0.0
serial,opt,uniform500,500,1,1,240,240,137,2,1,0.15,17417.3,9.33831,4.012,-1,0,0,0,0,E5,uniform500,1,4.012,4.012,4.012,0.0,17417.3,0.0
serial,opt,uniform500,500,1,1,240,240,136,3,1,0.15,17726.3,11.2777,4.013,-1,0,0,0,0,E5,uniform500,1,4.013,4.013,4.013,0.0,17726.3,0.0
serial,opt,uniform500,500,1,1,240,240,131,4,1,0.15,17710.4,11.1782,4.016,-1,0,0,0,0,E5,uniform500,1,4.016,4.016,4.016,0.0,17710.4,0.0
serial,opt,uniform500,500,1,1,240,240,138,5,1,0.15,17687.7,11.0359,4.018,-1,0,0,0,0,E5,uniform500,1,4.018,4.018,4.018,0.0,17687.7,0.0
serial,opt,uniform500,500,1,1,240,240,133,6,1,0.15,17374.4,9.0686,4.015,-1,0,0,0,0,E5,uniform500,1,4.015,4.015,4.015,0.0,17374.4,0.0
serial,opt,uniform500,500,1,1,240,240,127,7,1,0.15,17775.7,11.5878,4.007,-1,0,0,0,0,E5,uniform500,1,4.007,4.007,4.007,0.0,17775.7,0.0
serial,opt,uniform500,500,1,1,240,240,138,8,1,0.15,17695.2,11.0827,4.026,-1,0,0,0,0,E5,uniform500,1,4.026,4.026,4.026,0.0,17695.2,0.0
serial,opt,uniform500,500,1,1,240,240,132,9,1,0.15,17974.9,12.8385,4.001,-1,0,0,0,0,E5,uniform500,1,4.001,4.001,4.001,0.0,17974.9,0.0
serial,opt,uniform500,500,1,1,240,240,138,10,1,0.15,17799.4,11.7366,4.024,-1,0,0,0,0,E5,uniform500,1,4.024,4.024,4.024,0.0,17799.4,0.0
serial,opt,uniform500,500,1,1,240,240,138,11,1,0.15,17719.4,11.2347,4.022,-1,0,0,0,0,E5,uniform500,1,4.022,4.022,4.022,0.0,17719.4,0.0
serial,opt,uniform500,500,1,1,240,240,139,12,1,0.15,17926.5,12.5345,4.01,-1,0,0,0,0,E5,uniform500,1,4.01,4.01,4.01,0.0,17926.5,0.0
island-fixed,opt,uniform500,500,4,8,30,240,320,1,1,0.15,16539.6,3.8286,4.041,-1,256,248,256,0,E5,uniform500,1,4.041,4.041,4.041,0.0,16539.6,0.0
island-fixed,opt,uniform500,500,4,8,30,240,340,2,1,0.15,16826,5.62617,4.079,-1,272,268,272,0,E5,uniform500,1,4.079,4.079,4.079,0.0,16826.0,0.0
island-fixed,opt,uniform500,500,4,8,30,240,320,3,1,0.15,17381.6,9.11412,4.067,-1,256,250,256,0,E5,uniform500,1,4.067,4.067,4.067,0.0,17381.6,0.0
island-fixed,opt,uniform500,500,4,8,30,240,310,4,1,0.15,17300.6,8.60563,4.053,-1,248,242,248,0,E5,uniform500,1,4.053,4.053,4.053,0.0,17300.6,0.0
island-fixed,opt,uniform500,500,4,8,30,240,280,5,1,0.15,17125.8,7.50844,4.034,-1,224,220,224,0,E5,uniform500,1,4.034,4.034,4.034,0.0,17125.8,0.0
island-fixed,opt,uniform500,500,4,8,30,240,270,6,1,0.15,17039.2,6.96496,4.114,-1,216,209,216,0,E5,uniform500,1,4.114,4.114,4.114,0.0,17039.2,0.0
island-fixed,opt,uniform500,500,4,8,30,240,260,7,1,0.15,17391.1,9.17388,4.13,-1,208,201,208,0,E5,uniform500,1,4.13,4.13,4.13,0.0,17391.1,0.0
island-fixed,opt,uniform500,500,4,8,30,240,260,8,1,0.15,17011.1,6.78795,4.029,-1,208,201,208,0,E5,uniform500,1,4.029,4.029,4.029,0.0,17011.1,0.0
island-fixed,opt,uniform500,500,4,8,30,240,260,9,1,0.15,17354.3,8.94267,4.053,-1,208,201,208,0,E5,uniform500,1,4.053,4.053,4.053,0.0,17354.3,0.0
island-fixed,opt,uniform500,500,4,8,30,240,260,10,1,0.15,17387.4,9.1504,4.047,-1,208,201,208,0,E5,uniform500,1,4.047,4.047,4.047,0.0,17387.4,0.0
island-fixed,opt,uniform500,500,4,8,30,240,260,11,1,0.15,17675.5,10.9589,4.131,-1,208,199,208,0,E5,uniform500,1,4.131,4.131,4.131,0.0,17675.5,0.0
island-fixed,opt,uniform500,500,4,8,30,240,260,12,1,0.15,17261.2,8.35805,4.06,-1,208,201,208,0,E5,uniform500,1,4.06,4.06,4.06,0.0,17261.2,0.0
