mode,engine,instance,n,threads,islands,island_pop,total_pop,generations,seed,twoopt,tau,best_len,gap,total_time,time_to_target,migrations,stag_epochs,island_epochs,valid,exp,reps,t_min,t_med,t_max,t_cv,len_med,canary_drift_pct
island-dtam,opt,uniform500,500,4,8,30,240,4000,1,0,0.0,47065.3,195.455,1.468,-1,0,0,3200,0,E4,2,1.468,1.698,1.928,0.1354534746760895,47065.3,30.88
island-dtam,opt,uniform500,500,4,8,30,240,4000,2,0,0.0,45200,183.746,1.331,-1,0,0,3200,0,E4,2,1.331,1.541,1.751,0.136275146009085,45200.0,30.88
island-dtam,opt,uniform500,500,4,8,30,240,4000,3,0,0.0,45677.4,186.743,1.402,-1,0,0,3200,0,E4,2,1.402,1.688,1.974,0.1694312796208531,45677.4,30.88
island-dtam,opt,uniform500,500,4,8,30,240,4000,4,0,0.0,46163.8,189.796,1.323,-1,0,0,3200,0,E4,2,1.323,1.5565,1.79,0.1500160616768391,46163.8,30.88
island-dtam,opt,uniform500,500,4,8,30,240,4000,5,0,0.0,46709.8,193.224,1.487,-1,0,0,3200,0,E4,2,1.487,1.7095,1.932,0.13015501608657498,46709.8,30.88
island-dtam,opt,uniform500,500,4,8,30,240,4000,6,0,0.0,46444,191.555,1.345,-1,0,0,3200,0,E4,2,1.345,1.5699999999999998,1.795,0.14331210191082802,46444.0,30.88
island-dtam,opt,uniform500,500,4,8,30,240,4000,7,0,0.0,47460.6,197.937,1.35,-1,0,0,3200,0,E4,2,1.35,1.6395,1.929,0.17657822506861848,47460.6,30.88
island-dtam,opt,uniform500,500,4,8,30,240,4000,8,0,0.0,46320.3,190.778,1.451,-1,0,0,3200,0,E4,2,1.451,1.5855000000000001,1.72,0.08483128350678015,46320.3,30.88
island-dtam,opt,uniform500,500,4,8,30,240,4000,1,0,0.01,31924,100.405,1.772,-1,2547,2547,3200,0,E4,2,1.772,1.9129999999999998,2.054,0.07370622059592259,31924.0,30.88
island-dtam,opt,uniform500,500,4,8,30,240,4000,2,0,0.01,33746.9,111.848,1.69,-1,2492,2492,3200,0,E4,2,1.69,1.9215,2.153,0.12047879260994017,33746.9,30.88
island-dtam,opt,uniform500,500,4,8,30,240,4000,3,0,0.01,33541.2,110.557,2,-1,2503,2503,3200,0,E4,2,2.0,2.0605,2.121,0.029361805387041976,33541.2,30.88
island-dtam,opt,uniform500,500,4,8,30,240,4000,4,0,0.01,31933.9,100.467,2.082,-1,2515,2515,3200,0,E4,2,1.985,2.0335,2.082,0.023850504057044444,31933.9,30.88
island-dtam,opt,uniform500,500,4,8,30,240,4000,5,0,0.01,33447.2,109.967,2.178,-1,2551,2551,3200,0,E4,2,2.031,2.1045,2.178,0.03492516037063431,33447.2,30.88
island-dtam,opt,uniform500,500,4,8,30,240,4000,6,0,0.01,33316,109.144,2.054,-1,2512,2512,3200,0,E4,2,2.015,2.0345,2.054,0.00958466453674114,33316.0,30.88
island-dtam,opt,uniform500,500,4,8,30,240,4000,7,0,0.01,34351,115.641,2.066,-1,2488,2488,3200,0,E4,2,2.023,2.0445,2.066,0.010516018586451382,34351.0,30.88
