mode,engine,instance,n,threads,islands,island_pop,total_pop,generations,seed,twoopt,tau,best_len,gap,total_time,time_to_target,migrations,stag_epochs,island_epochs,valid,exp,instance_file,reps,t_min,t_med,t_max,t_cv,len_med,canary_drift_pct
island-dtam,opt,a280,280,4,8,30,240,920,7,1,0.15,2617,1.47344,4.035,-1,731,731,736,0,E6,a280,1,4.035,4.035,4.035,0.0,2617.0,0.0
island-dtam,opt,a280,280,4,8,30,240,930,8,1,0.15,2629,1.93874,4.003,-1,738,738,744,0,E6,a280,1,4.003,4.003,4.003,0.0,2629.0,0.0
island-dtam,opt,a280,280,4,8,30,240,920,9,1,0.15,2631,2.01629,4.016,-1,730,730,736,0,E6,a280,1,4.016,4.016,4.016,0.0,2631.0,0.0
island-dtam,opt,a280,280,4,8,30,240,940,10,1,0.15,2608,1.12447,4.025,-1,746,746,752,0,E6,a280,1,4.025,4.025,4.025,0.0,2608.0,0.0
island-dtam,opt,a280,280,4,8,30,240,780,11,1,0.15,2611,1.24079,4.046,-1,618,618,624,0,E6,a280,1,4.046,4.046,4.046,0.0,2611.0,0.0
island-dtam,opt,a280,280,4,8,30,240,910,12,1,0.15,2604,0.969368,4.003,-1,723,723,728,0,E6,a280,1,4.003,4.003,4.003,0.0,2604.0,0.0
serial,opt,berlin52,52,1,1,240,240,9521,1,1,0.15,7542,0,4,-1,0,0,0,0,E6,berlin52,1,4.0,4.0,4.0,0.0,7542.0,0.0
serial,opt,berlin52,52,1,1,240,240,9872,2,1,0.15,7542,0,4,-1,0,0,0,0,E6,berlin52,1,4.0,4.0,4.0,0.0,7542.0,0.0
serial,opt,berlin52,52,1,1,240,240,9718,3,1,0.15,7542,0,4,-1,0,0,0,0,E6,berlin52,1,4.0,4.0,4.0,0.0,7542.0,0.0
serial,opt,berlin52,52,1,1,240,240,9779,4,1,0.15,7542,0,4,-1,0,0,0,0,E6,berlin52,1,4.0,4.0,4.0,0.0,7542.0,0.0
serial,opt,berlin52,52,1,1,240,240,9800,5,1,0.15,7542,0,4,-1,0,0,0,0,E6,berlin52,1,4.0,4.0,4.0,0.0,7542.0,0.0
serial,opt,berlin52,52,1,1,240,240,9841,6,1,0.15,7542,0,4,-1,0,0,0,0,E6,berlin52,1,4.0,4.0,4.0,0.0,7542.0,0.0
serial,opt,berlin52,52,1,1,240,240,9741,7,1,0.15,7542,0,4,-1,0,0,0,0,E6,berlin52,1,4.0,4.0,4.0,0.0,7542.0,0.0
serial,opt,berlin52,52,1,1,240,240,9787,8,1,0.15,7542,0,4,-1,0,0,0,0,E6,berlin52,1,4.0,4.0,4.0,0.0,7542.0,0.0
serial,opt,berlin52,52,1,1,240,240,9804,9,1,0.15,7542,0,4,-1,0,0,0,0,E6,berlin52,1,4.0,4.0,4.0,0.0,7542.0,0.0
serial,opt,berlin52,52,1,1,240,240,9659,10,1,0.15,7542,0,4,-1,0,0,0,0,E6,berlin52,1,4.0,4.0,4.0,0.0,7542.0,0.0
serial,opt,berlin52,52,1,1,240,240,9402,11,1,0.15,7542,0,4,-1,0,0,0,0,E6,berlin52,1,4.0,4.0,4.0,0.0,7542.0,0.0
serial,opt,berlin52,52,1,1,240,240,9609,12,1,0.15,7542,0,4,-1,0,0,0,0,E6,berlin52,1,4.0,4.0,4.0,0.0,7542.0,0.0
island-fixed,opt,berlin52,52,4,8,30,240,22700,1,1,0.15,7542,0,4,-1,18160,18155,18160,0,E6,berlin52,1,4.0,4.0,4.0,0.0,7542.0,0.0
island-fixed,opt,berlin52,52,4,8,30,240,20430,2,1,0.15,7542,0,4,-1,16344,16338,16344,0,E6,berlin52,1,4.0,4.0,4.0,0.0,7542.0,0.0
island-fixed,opt,berlin52,52,4,8,30,240,19430,3,1,0.15,7542,0,4.001,-1,15544,15537,15544,0,E6,berlin52,1,4.001,4.001,4.001,0.0,7542.0,0.0
island-fixed,opt,berlin52,52,4,8,30,240,20560,4,1,0.15,7542,0,4,-1,16448,16443,16448,0,E6,berlin52,1,4.0,4.0,4.0,0.0,7542.0,0.0
island-fixed,opt,berlin52,52,4,8,30,240,20940,5,1,0.15,7542,0,4.001,-1,16752,16744,16752,0,E6,berlin52,1,4.001,4.001,4.001,0.0,7542.0,0.0
island-fixed,opt,berlin52,52,4,8,30,240,21040,6,1,0.15,7542,0,4.001,-1,16832,16825,16832,0,E6,berlin52,1,4.001,4.001,4.001,0.0,7542.0,0.0
island-fixed,opt,berlin52,52,4,8,30,240,21280,7,1,0.15,7542,0,4,-1,17024,17018,17024,0,E6,berlin52,1,4.0,4.0,4.0,0.0,7542.0,0.0
island-fixed,opt,berlin52,52,4,8,30,240,21300,8,1,0.15,7542,0,4,-1,17040,17033,17040,0,E6,berlin52,1,4.0,4.0,4.0,0.0,7542.0,0.0
island-fixed,opt,berlin52,52,4,8,30,240,21140,9,1,0.15,7542,0,4.001,-1,16912,16906,16912,0,E6,berlin52,1,4.001,4.001,4.001,0.0,7542.0,0.0
island-fixed,opt,berlin52,52,4,8,30,240,20880,10,1,0.15,7542,0,4.001,-1,16704,16697,16704,0,E6,berlin52,1,4.001,4.001,4.001,0.0,7542.0,0.0
island-fixed,opt,berlin52,52,4,8,30,240,20620,11,1,0.15,7542,0,4.001,-1,16496,16489,16496,0,E6,berlin52,1,4.001,4.001,4.001,0.0,7542.0,0.0
island-fixed,opt,berlin52,52,4,8,30,240,21020,12,1,0.15,7542,0,4,-1,16816,16809,16816,0,E6,berlin52,1,4.0,4.0,4.0,0.0,7542.0,0.0
island-dtam,opt,berlin52,52,4,8,30,240,19070,1,1,0.15,7542,0,4.001,-1,15248,15248,15256,0,E6,berlin52,1,4.001,4.001,4.001,0.0,7542.0,0.0
island-dtam,opt,berlin52,52,4,8,30,240,18200,2,1,0.15,7542,0,4,-1,14551,14551,14560,0,E6,berlin52,1,4.0,4.0,4.0,0.0,7542.0,0.0
island-dtam,opt,berlin52,52,4,8,30,240,18160,3,1,0.15,7542,0,4.002,-1,14520,14520,14528,0,E6,berlin52,1,4.002,4.002,4.002,0.0,7542.0,0.0
island-dtam,opt,berlin52,52,4,8,30,240,18610,4,1,0.15,7542,0,4,-1,14881,14881,14888,0,E6,berlin52,1,4.0,4.0,4.0,0.0,7542.0,0.0
island-dtam,opt,berlin52,52,4,8,30,240,19220,5,1,0.15,7542,0,4.001,-1,15367,15367,15376,0,E6,berlin52,1,4.001,4.001,4.001,0.0,7542.0,0.0
island-dtam,opt,berlin52,52,4,8,30,240,19180,6,1,0.15,7542,0,4,-1,15335,15335,15344,0,E6,berlin52,1,4.0,4.0,4.0,0.0,7542.0,0.0
island-dtam,opt,berlin52,52,4,8,30,240,19810,7,1,0.15,7542,0,4,-1,15841,15841,15848,0,E6,berlin52,1,4.0,4.0,4.0,0.0,7542.0,0.0
island-dtam,opt,berlin52,52,4,8,30,240,20010,8,1,0.15,7542,0,4,-1,16000,16000,16008,0,E6,berlin52,1,4.0,4.0,4.0,0.0,7542.0,0.0
island-dtam,opt,berlin52,52,4,8,30,240,19840,9,1,0.15,7542,0,4.001,-1,15865,15865,15872,0,E6,berlin52,1,4.001,4.001,4.001,0.0,7542.0,0.0
island-dtam,opt,berlin52,52,4,8,30,240,19890,10,1,0.15,7542,0,4,-1,15904,15904,15912,0,E6,berlin52,1,4.0,4.0,4.0,0.0,7542.0,0.0
island-dtam,opt,berlin52,52,4,8,30,240,20230,11,1,0.15,7542,0,4.001,-1,16176,16176,16184,0,E6,berlin52,1,4.001,4.001,4.001,0.0,7542.0,0.0
island-dtam,opt,berlin52,52,4,8,30,240,20020,12,1,0.15,7542,0,4,-1,16009,16009,16016,0,E6,berlin52,1,4.0,4.0,4.0,0.0,7542.0,0.0
serial,opt,ch150,150,1,1,240,240,1517,1,1,0.15,6587,0.903799,4.001,-1,0,0,0,0,E6,ch150,1,4.001,4.001,4.001,0.0,6587.0,0.0
