mode,engine,instance,n,threads,islands,island_pop,total_pop,generations,seed,twoopt,tau,best_len,gap,total_time,time_to_target,migrations,stag_epochs,island_epochs,valid,exp,reps,t_min,t_med,t_max,t_cv,len_med,canary_drift_pct
island-fixed,baseline,uniform500,500,1,1,240,240,4000,1,0,0.15,61440.4,285.696,4.792,-1,0,377,400,0,E2,4,4.792,4.823,4.85,0.005814121015709702,61440.4,-16.09
island-fixed,baseline,uniform500,500,1,1,240,240,4000,2,0,0.15,51516.2,223.396,4.749,-1,0,377,400,0,E2,4,4.749,4.8305,4.99,0.01820222721443585,51516.2,-16.09
island-fixed,baseline,uniform500,500,1,1,240,240,4000,3,0,0.15,46217.2,190.132,4.722,-1,0,378,400,0,E2,4,4.722,4.808999999999999,4.866,0.011240216394434704,46217.2,-16.09
island-dtam,baseline,uniform500,500,1,1,240,240,4000,1,0,0.15,61440.4,285.696,4.778,-1,0,377,400,0,E2,4,4.778,4.866,5.844,0.08601243018831473,61440.4,-16.09
island-dtam,baseline,uniform500,500,1,1,240,240,4000,2,0,0.15,51516.2,223.396,4.781,-1,0,377,400,0,E2,4,4.781,4.88,5.52,0.058737127102856564,51516.2,-16.09
island-dtam,baseline,uniform500,500,1,1,240,240,4000,3,0,0.15,46217.2,190.132,4.744,-1,0,378,400,0,E2,4,4.744,4.8185,4.927,0.01388102988178722,46217.2,-16.09
island-fixed,baseline,uniform500,500,2,2,120,240,4000,1,0,0.15,27141.4,70.3821,2.411,-1,800,765,800,0,E2,4,2.377,2.3945,2.487,0.018532458640669103,27141.4,-16.09
island-fixed,baseline,uniform500,500,2,2,120,240,4000,2,0,0.15,28931.6,81.6201,2.337,-1,800,706,800,0,E2,4,2.337,2.4074999999999998,2.435,0.01544990049507307,28931.6,-16.09
island-fixed,baseline,uniform500,500,2,2,120,240,4000,3,0,0.15,29556.3,85.5415,2.376,-1,800,770,800,0,E2,4,2.319,2.395,2.504,0.0279956983896335,29556.3,-16.09
island-dtam,baseline,uniform500,500,2,2,120,240,4000,1,0,0.15,31002.2,94.6181,2.401,-1,633,633,800,0,E2,4,2.358,2.4435000000000002,2.502,0.02441927828337406,31002.2,-16.09
island-dtam,baseline,uniform500,500,2,2,120,240,4000,2,0,0.15,30057.6,88.6885,2.5,-1,624,624,800,0,E2,4,2.5,2.5949999999999998,3.026,0.07621594490167422,30057.6,-16.09
island-dtam,baseline,uniform500,500,2,2,120,240,4000,3,0,0.15,30255.9,89.9335,2.55,-1,713,713,800,0,E2,4,2.55,2.632,2.743,0.029497174374679663,30255.9,-16.09
