mode,engine,instance,n,threads,islands,island_pop,total_pop,generations,seed,twoopt,tau,best_len,gap,total_time,time_to_target,migrations,stag_epochs,island_epochs,valid,exp,reps,t_min,t_med,t_max,t_cv,len_med,canary_drift_pct
island-fixed,baseline,uniform500,500,3,3,80,240,4000,1,0,0.15,27750.4,74.205,1.893,-1,1200,1175,1200,0,E2,4,1.893,1.9295,1.959,0.01340404604613065,27750.4,-16.09
island-fixed,baseline,uniform500,500,3,3,80,240,4000,2,0,0.15,25419.7,59.5737,1.962,-1,1200,1182,1200,0,E2,4,1.944,1.988,2.053,0.021582650253612112,25419.7,-16.09
island-fixed,baseline,uniform500,500,3,3,80,240,4000,3,0,0.15,27762.8,74.283,1.948,-1,1200,1179,1200,0,E2,4,1.936,1.9645000000000001,2.064,0.025219762562611422,27762.8,-16.09
island-dtam,baseline,uniform500,500,3,3,80,240,4000,1,0,0.15,26344.1,65.3767,1.993,-1,1175,1175,1200,0,E2,4,1.993,2.0389999999999997,2.123,0.026230479321275438,26344.1,-16.09
island-dtam,baseline,uniform500,500,3,3,80,240,4000,2,0,0.15,27035.1,69.7144,1.955,-1,1180,1180,1200,0,E2,4,1.955,2.0229999999999997,2.053,0.01944392908453283,27035.1,-16.09
island-dtam,baseline,uniform500,500,3,3,80,240,4000,3,0,0.15,26338.4,65.3408,1.977,-1,1185,1185,1200,0,E2,4,1.977,2.002,2.054,0.014033703645867444,26338.4,-16.09
island-fixed,baseline,uniform500,500,4,4,60,240,4000,1,0,0.15,26964.6,69.272,1.673,-1,1600,1579,1600,0,E2,4,1.654,1.6720000000000002,1.694,0.008484799501840046,26964.6,-16.09
island-fixed,baseline,uniform500,500,4,4,60,240,4000,2,0,0.15,29464.7,84.9667,1.616,-1,1600,1573,1600,0,E2,4,1.616,1.7005,1.76,0.030293248536388866,29464.7,-16.09
island-fixed,baseline,uniform500,500,4,4,60,240,4000,3,0,0.15,30366.9,90.6302,1.663,-1,1600,1581,1600,0,E2,4,1.663,1.7065000000000001,1.742,0.017797373202836628,30366.9,-16.09
island-dtam,baseline,uniform500,500,4,4,60,240,4000,1,0,0.15,29636.3,86.0435,1.777,-1,1581,1581,1600,0,E2,4,1.777,1.809,1.848,0.013918501404049497,29636.3,-16.09
island-dtam,baseline,uniform500,500,4,4,60,240,4000,2,0,0.15,29087.9,82.6012,1.736,-1,1584,1584,1600,0,E2,4,1.736,1.7945,1.832,0.020684247240143092,29087.9,-16.09
island-dtam,baseline,uniform500,500,4,4,60,240,4000,3,0,0.15,27350.1,71.6918,1.779,-1,1579,1579,1600,0,E2,4,1.771,1.803,1.851,0.018387656586426302,27350.1,-16.09
island-fixed,baseline,uniform500,500,6,6,40,240,4000,1,0,0.15,31958.9,100.624,1.373,-1,2400,2387,2400,0,E2,4,1.373,1.4135,1.449,0.02038373715662888,31958.9,-16.09
island-fixed,baseline,uniform500,500,6,6,40,240,4000,2,0,0.15,32081.6,101.394,1.404,-1,2400,2384,2400,0,E2,4,1.404,1.4649999999999999,1.506,0.027720693623079565,32081.6,-16.09
island-fixed,baseline,uniform500,500,6,6,40,240,4000,3,0,0.15,31722.2,99.138,1.369,-1,2400,2382,2400,0,E2,4,1.369,1.435,1.512,0.035435847709708125,31722.2,-16.09
island-dtam,baseline,uniform500,500,6,6,40,240,4000,1,0,0.15,28849.4,81.1039,1.664,-1,2389,2389,2400,0,E2,4,1.664,1.714,1.774,0.024445844268281735,28849.4,-16.09
island-dtam,baseline,uniform500,500,6,6,40,240,4000,2,0,0.15,28974.7,81.8907,1.663,-1,2385,2385,2400,0,E2,4,1.66,1.679,1.702,0.011127928033238055,28974.7,-16.09
island-dtam,baseline,uniform500,500,6,6,40,240,4000,3,0,0.15,29896.2,87.675,1.642,-1,2388,2388,2400,0,E2,4,1.642,1.7215,1.767,0.029133047039180772,29896.2,-16.09
island-fixed,baseline,uniform500,500,8,8,30,240,4000,1,0,0.15,32470.1,103.833,1.254,-1,3200,3192,3200,0,E2,4,1.254,1.306,1.315,0.01911022978090108,32470.1,-16.09
island-fixed,baseline,uniform500,500,8,8,30,240,4000,2,0,0.15,34925.1,119.245,1.31,-1,3200,3191,3200,0,E2,4,1.278,1.3195000000000001,1.332,0.016382965488659695,34925.1,-16.09
island-fixed,baseline,uniform500,500,8,8,30,240,4000,3,0,0.15,34607.5,117.251,1.273,-1,3200,3183,3200,0,E2,4,1.273,1.3265,1.403,0.034939156012702845,34607.5,-16.09
island-dtam,baseline,uniform500,500,8,8,30,240,4000,1,0,0.15,31577.3,98.2283,1.729,-1,3185,3185,3200,0,E2,4,1.705,1.7610000000000001,1.793,0.0221856664774151,31577.3,-16.09
island-dtam,baseline,uniform500,500,8,8,30,240,4000,2,0,0.15,31711,99.0678,1.692,-1,3196,3196,3200,0,E2,4,1.692,1.807,1.827,0.029961741585815955,31711.0,-16.09
island-dtam,baseline,uniform500,500,8,8,30,240,4000,3,0,0.15,31630.7,98.564,1.765,-1,3190,3190,3200,0,E2,4,1.734,1.7595,1.772,0.008176074295102847,31630.7,-16.09
island-fixed,opt,uniform500,500,1,1,240,240,4000,1,0,0.15,61440.4,285.696,4.869,-1,0,377,400,0,E2,4,4.869,4.995,5.029,0.01228929467270125,61440.4,-16.09
island-fixed,opt,uniform500,500,1,1,240,240,4000,2,0,0.15,51516.2,223.396,4.793,-1,0,377,400,0,E2,4,4.793,4.824,4.85,0.004278097706591706,51516.2,-16.09
island-fixed,opt,uniform500,500,1,1,240,240,4000,3,0,0.15,46217.2,190.132,4.747,-1,0,378,400,0,E2,4,4.747,4.867,4.914,0.012984340950443206,46217.2,-16.09
island-dtam,opt,uniform500,500,1,1,240,240,4000,1,0,0.15,61440.4,285.696,4.942,-1,0,377,400,0,E2,4,4.879,4.9030000000000005,4.942,0.004683819263069652,61440.4,-16.09
island-dtam,opt,uniform500,500,1,1,240,240,4000,2,0,0.15,51516.2,223.396,4.846,-1,0,377,400,0,E2,4,4.837,4.8425,4.963,0.01089600910729389,51516.2,-16.09
island-dtam,opt,uniform500,500,1,1,240,240,4000,3,0,0.15,46217.2,190.132,4.902,-1,0,378,400,0,E2,4,4.812,4.843,4.902,0.006723989220255799,46217.2,-16.09
island-fixed,opt,uniform500,500,2,2,120,240,4000,1,0,0.15,27141.4,70.3821,2.454,-1,800,765,800,0,E2,4,2.351,2.4059999999999997,2.454,0.01571306445283454,27141.4,-16.09
island-fixed,opt,uniform500,500,2,2,120,240,4000,2,0,0.15,28931.6,81.6201,2.493,-1,800,706,800,0,E2,4,2.44,2.4444999999999997,2.493,0.008906099665497467,28931.6,-16.09
island-fixed,opt,uniform500,500,2,2,120,240,4000,3,0,0.15,29556.3,85.5415,2.48,-1,800,770,800,0,E2,4,2.48,2.5225,2.693,0.03252997999874234,29556.3,-16.09
island-dtam,opt,uniform500,500,2,2,120,240,4000,1,0,0.15,31002.2,94.6181,2.6,-1,633,633,800,0,E2,4,2.6,2.623,2.646,0.008042326766957259,31002.2,-16.09
island-dtam,opt,uniform500,500,2,2,120,240,4000,2,0,0.15,30057.6,88.6885,2.67,-1,624,624,800,0,E2,4,2.67,2.6845,2.813,0.02139284192362711,30057.6,-16.09
island-dtam,opt,uniform500,500,2,2,120,240,4000,3,0,0.15,30255.9,89.9335,2.565,-1,713,713,800,0,E2,4,2.565,2.612,2.712,0.020446317187986496,30255.9,-16.09
island-fixed,opt,uniform500,500,3,3,80,240,4000,1,0,0.15,27750.4,74.205,1.954,-1,1200,1175,1200,0,E2,4,1.94,1.954,1.988,0.009031039312380883,27750.4,-16.09
island-fixed,opt,uniform500,500,3,3,80,240,4000,2,0,0.15,25419.7,59.5737,2.016,-1,1200,1182,1200,0,E2,4,1.973,2.045,2.385,0.0765341061412176,25419.7,-16.09
island-fixed,opt,uniform500,500,3,3,80,240,4000,3,0,0.15,27762.8,74.283,2.035,-1,1200,1179,1200,0,E2,4,2.035,2.0439999999999996,2.135,0.019902310248536427,27762.8,-16.09
island-dtam,opt,uniform500,500,3,3,80,240,4000,1,0,0.15,26344.1,65.3767,2.011,-1,1175,1175,1200,0,E2,4,2.011,2.0945,2.159,0.02772020394521811,26344.1,-16.09
island-dtam,opt,uniform500,500,3,3,80,240,4000,2,0,0.15,27035.1,69.7144,2.168,-1,1180,1180,1200,0,E2,4,2.057,2.097,2.168,0.019005745899199216,27035.1,-16.09
island-dtam,opt,uniform500,500,3,3,80,240,4000,3,0,0.15,26338.4,65.3408,2.052,-1,1185,1185,1200,0,E2,4,2.042,2.0595,2.07,0.005523541694408628,26338.4,-16.09
island-fixed,opt,uniform500,500,4,4,60,240,4000,1,0,0.15,26964.6,69.272,1.663,-1,1600,1579,1600,0,E2,4,1.663,1.72,1.843,0.04121502787562926,26964.6,-16.09
island-fixed,opt,uniform500,500,4,4,60,240,4000,2,0,0.15,29464.7,84.9667,1.687,-1,1600,1573,1600,0,E2,4,1.687,1.734,1.969,0.0622144193141286,29464.7,-16.09
island-fixed,opt,uniform500,500,4,4,60,240,4000,3,0,0.15,30366.9,90.6302,1.69,-1,1600,1581,1600,0,E2,4,1.69,1.7265000000000001,1.937,0.05538308316843387,30366.9,-16.09
island-dtam,opt,uniform500,500,4,4,60,240,4000,1,0,0.15,29636.3,86.0435,1.789,-1,1581,1581,1600,0,E2,4,1.789,1.8315000000000001,1.87,0.017051613258687388,29636.3,-16.09
island-dtam,opt,uniform500,500,4,4,60,240,4000,2,0,0.15,29087.9,82.6012,2.137,-1,1584,1584,1600,0,E2,4,1.851,1.873,2.137,0.06138049620592258,29087.9,-16.09
island-dtam,opt,uniform500,500,4,4,60,240,4000,3,0,0.15,27350.1,71.6918,1.783,-1,1579,1579,1600,0,E2,4,1.783,1.7995,1.971,0.041875962058782586,27350.1,-16.09
island-fixed,opt,uniform500,500,6,6,40,240,4000,1,0,0.15,31958.9,100.624,1.427,-1,2400,2387,2400,0,E2,4,1.427,1.491,1.578,0.038401679019282924,31958.9,-16.09
island-fixed,opt,uniform500,500,6,6,40,240,4000,2,0,0.15,32081.6,101.394,1.422,-1,2400,2384,2400,0,E2,4,1.422,1.467,1.488,0.018018407366308276,32081.6,-16.09
island-fixed,opt,uniform500,500,6,6,40,240,4000,3,0,0.15,31722.2,99.138,1.458,-1,2400,2382,2400,0,E2,4,1.458,1.459,1.539,0.023529964480966305,31722.2,-16.09
island-dtam,opt,uniform500,500,6,6,40,240,4000,1,0,0.15,28849.4,81.1039,1.722,-1,2389,2389,2400,0,E2,4,1.722,1.7755,1.844,0.031542547006485254,28849.4,-16.09
island-dtam,opt,uniform500,500,6,6,40,240,4000,2,0,0.15,28974.7,81.8907,1.81,-1,2385,2385,2400,0,E2,4,1.727,1.7725,1.849,0.028772331717373426,28974.7,-16.09
island-dtam,opt,uniform500,500,6,6,40,240,4000,3,0,0.15,29896.2,87.675,1.727,-1,2388,2388,2400,0,E2,4,1.727,1.7555,2.027,0.06791792883345729,29896.2,-16.09
island-fixed,opt,uniform500,500,8,8,30,240,4000,1,0,0.15,32470.1,103.833,1.341,-1,3200,3192,3200,0,E2,4,1.325,1.3584999999999998,1.422,0.027249125286141648,32470.1,-16.09
island-fixed,opt,uniform500,500,8,8,30,240,4000,2,0,0.15,34925.1,119.245,1.469,-1,3200,3191,3200,0,E2,4,1.363,1.419,1.469,0.03406209508964371,34925.1,-16.09
island-fixed,opt,uniform500,500,8,8,30,240,4000,3,0,0.15,34607.5,117.251,1.332,-1,3200,3183,3200,0,E2,4,1.332,1.375,1.428,0.026035809568681345,34607.5,-16.09
island-dtam,opt,uniform500,500,8,8,30,240,4000,1,0,0.15,31577.3,98.2283,1.763,-1,3185,3185,3200,0,E2,4,1.763,1.838,1.878,0.02377670302156291,31577.3,-16.09
island-dtam,opt,uniform500,500,8,8,30,240,4000,2,0,0.15,31711,99.0678,1.851,-1,3196,3196,3200,0,E2,4,1.807,1.847,1.851,0.009785694096085415,31711.0,-16.09
island-dtam,opt,uniform500,500,8,8,30,240,4000,3,0,0.15,31630.7,98.564,1.866,-1,3190,3190,3200,0,E2,4,1.866,1.922,2.036,0.03196129766173799,31630.7,-16.09
serial,baseline,uniform500,500,1,1,240,240,4000,1,0,0.15,48108.3,202.003,5.027,-1,0,0,0,0,E2,4,4.932,4.982,5.027,0.0072672814863070515,48108.3,-16.09
serial,baseline,uniform500,500,1,1,240,240,4000,2,0,0.15,48855.9,206.696,4.807,-1,0,0,0,0,E2,4,4.803,4.814,4.834,0.0025402926142210104,48855.9,-16.09
serial,baseline,uniform500,500,1,1,240,240,4000,3,0,0.15,55093.9,245.856,4.745,-1,0,0,0,0,E2,4,4.745,4.8065,4.858,0.008358856371882259,55093.9,-16.09
