mode,engine,instance,n,threads,islands,island_pop,total_pop,generations,seed,twoopt,tau,best_len,gap,total_time,time_to_target,migrations,stag_epochs,island_epochs,valid,exp,reps,t_min,t_med,t_max,t_cv,len_med,canary_drift_pct
island-dtam,opt,uniform500,500,2,8,30,240,150,3,1,0.15,17367,9.02223,3.044,-1,115,115,120,0,E3,3,3.038,3.044,3.047,0.0012295949348583907,17367.0,33.23
island-dtam,opt,uniform500,500,2,8,30,240,150,4,1,0.15,17456.9,9.58668,2.947,-1,114,114,120,0,E3,3,2.947,3.096,3.267,0.042129642868418526,17456.9,33.23
island-dtam,opt,uniform500,500,2,8,30,240,150,5,1,0.15,17313.8,8.68828,3.084,-1,113,113,120,0,E3,3,2.914,3.012,3.084,0.023198306963443098,17313.8,33.23
island-fixed,opt,uniform500,500,3,8,30,240,150,1,1,0.15,16747.9,5.13596,2.486,-1,120,112,120,0,E3,3,2.414,2.486,2.788,0.06322449971556114,16747.9,33.23
island-fixed,opt,uniform500,500,3,8,30,240,150,2,1,0.15,17072,7.17033,2.368,-1,120,116,120,0,E3,3,2.368,2.44,2.608,0.0406789808737105,17072.0,33.23
island-fixed,opt,uniform500,500,3,8,30,240,150,3,1,0.15,17507.2,9.90264,2.385,-1,120,114,120,0,E3,3,2.385,2.557,2.638,0.04175081368378162,17507.2,33.23
island-fixed,opt,uniform500,500,3,8,30,240,150,4,1,0.15,17436.5,9.45878,2.729,-1,120,114,120,0,E3,3,2.54,2.729,2.752,0.03552494811680788,17436.5,33.23
island-fixed,opt,uniform500,500,3,8,30,240,150,5,1,0.15,17325.1,8.75946,2.591,-1,120,116,120,0,E3,3,2.368,2.463,2.591,0.03693251351892298,17325.1,33.23
island-dtam,opt,uniform500,500,3,8,30,240,150,1,1,0.15,16711.1,4.90529,2.473,-1,110,110,120,0,E3,3,2.422,2.473,2.657,0.04009406203886502,16711.1,33.23
island-dtam,opt,uniform500,500,3,8,30,240,150,2,1,0.15,16816.9,5.56932,2.521,-1,112,112,120,0,E3,3,2.442,2.521,2.616,0.028157503217689995,16816.9,33.23
island-dtam,opt,uniform500,500,3,8,30,240,150,3,1,0.15,17367,9.02223,2.476,-1,115,115,120,0,E3,3,2.375,2.476,2.673,0.04933985651548767,17367.0,33.23
island-dtam,opt,uniform500,500,3,8,30,240,150,4,1,0.15,17456.9,9.58668,2.455,-1,114,114,120,0,E3,3,2.423,2.455,2.597,0.030348733513737482,17456.9,33.23
island-dtam,opt,uniform500,500,3,8,30,240,150,5,1,0.15,17313.8,8.68828,2.521,-1,113,113,120,0,E3,3,2.402,2.491,2.521,0.020447552336532167,17313.8,33.23
island-fixed,opt,uniform500,500,4,8,30,240,150,1,1,0.15,16747.9,5.13596,1.908,-1,120,112,120,0,E3,3,1.856,1.908,1.947,0.019581549373411677,16747.9,33.23
island-fixed,opt,uniform500,500,4,8,30,240,150,2,1,0.15,17072,7.17033,2.066,-1,120,116,120,0,E3,3,1.9,1.966,2.066,0.03451183491643746,17072.0,33.23
island-fixed,opt,uniform500,500,4,8,30,240,150,3,1,0.15,17507.2,9.90264,2.058,-1,120,114,120,0,E3,3,1.971,2.045,2.058,0.018925282180436636,17507.2,33.23
island-fixed,opt,uniform500,500,4,8,30,240,150,4,1,0.15,17436.5,9.45878,1.936,-1,120,114,120,0,E3,3,1.936,2.038,2.077,0.029473205647400788,17436.5,33.23
island-fixed,opt,uniform500,500,4,8,30,240,150,5,1,0.15,17325.1,8.75946,1.987,-1,120,116,120,0,E3,3,1.882,1.987,2.029,0.031445740622733954,17325.1,33.23
island-dtam,opt,uniform500,500,4,8,30,240,150,1,1,0.15,16711.1,4.90529,1.92,-1,110,110,120,0,E3,3,1.894,1.92,2.037,0.03188943791271496,16711.1,33.23
island-dtam,opt,uniform500,500,4,8,30,240,150,2,1,0.15,16816.9,5.56932,2.007,-1,112,112,120,0,E3,3,2.007,2.024,2.146,0.030067282507804233,16816.9,33.23
island-dtam,opt,uniform500,500,4,8,30,240,150,3,1,0.15,17367,9.02223,1.985,-1,115,115,120,0,E3,3,1.959,1.985,2.015,0.011519383991764073,17367.0,33.23
island-dtam,opt,uniform500,500,4,8,30,240,150,4,1,0.15,17456.9,9.58668,1.902,-1,114,114,120,0,E3,3,1.902,1.98,2.197,0.061594050636947416,17456.9,33.23
island-dtam,opt,uniform500,500,4,8,30,240,150,5,1,0.15,17313.8,8.68828,2.084,-1,113,113,120,0,E3,3,2.001,2.072,2.084,0.01784663872460903,17313.8,33.23
island-fixed,opt,uniform500,500,6,8,30,240,150,1,1,0.15,16747.9,5.13596,2.129,-1,120,112,120,0,E3,3,2.097,2.129,2.407,0.0629612299878538,16747.9,33.23
island-fixed,opt,uniform500,500,6,8,30,240,150,2,1,0.15,17072,7.17033,2.256,-1,120,116,120,0,E3,3,2.198,2.217,2.256,0.010857334110167444,17072.0,33.23
island-fixed,opt,uniform500,500,6,8,30,240,150,3,1,0.15,17507.2,9.90264,2.404,-1,120,114,120,0,E3,3,2.194,2.202,2.404,0.042866575004251915,17507.2,33.23
island-fixed,opt,uniform500,500,6,8,30,240,150,4,1,0.15,17436.5,9.45878,2.153,-1,120,114,120,0,E3,3,2.068,2.079,2.153,0.017973693719177702,17436.5,33.23
island-fixed,opt,uniform500,500,6,8,30,240,150,5,1,0.15,17325.1,8.75946,2.202,-1,120,116,120,0,E3,3,2.186,2.202,2.209,0.004377604692494686,17325.1,33.23
island-dtam,opt,uniform500,500,6,8,30,240,150,1,1,0.15,16711.1,4.90529,2.21,-1,110,110,120,0,E3,3,2.117,2.21,2.486,0.06899918985158629,16711.1,33.23
island-dtam,opt,uniform500,500,6,8,30,240,150,2,1,0.15,16816.9,5.56932,2.296,-1,112,112,120,0,E3,3,2.245,2.296,2.688,0.0821315388520858,16816.9,33.23
island-dtam,opt,uniform500,500,6,8,30,240,150,3,1,0.15,17367,9.02223,2.221,-1,115,115,120,0,E3,3,2.221,2.339,3.184,0.16614044696542457,17367.0,33.23
island-dtam,opt,uniform500,500,6,8,30,240,150,4,1,0.15,17456.9,9.58668,2.142,-1,114,114,120,0,E3,3,2.142,2.243,3.105,0.17308210596614731,17456.9,33.23
island-dtam,opt,uniform500,500,6,8,30,240,150,5,1,0.15,17313.8,8.68828,2.177,-1,113,113,120,0,E3,3,2.164,2.177,2.191,0.005063636071200563,17313.8,33.23
island-fixed,opt,uniform500,500,8,8,30,240,150,1,1,0.15,16747.9,5.13596,1.734,-1,120,112,120,0,E3,3,1.672,1.706,1.734,0.014877271785470705,16747.9,33.23
island-fixed,opt,uniform500,500,8,8,30,240,150,2,1,0.15,17072,7.17033,1.69,-1,120,116,120,0,E3,3,1.625,1.69,1.721,0.023830089961080547,17072.0,33.23
island-fixed,opt,uniform500,500,8,8,30,240,150,3,1,0.15,17507.2,9.90264,1.734,-1,120,114,120,0,E3,3,1.595,1.697,1.734,0.03508454210616867,17507.2,33.23
island-fixed,opt,uniform500,500,8,8,30,240,150,4,1,0.15,17436.5,9.45878,1.711,-1,120,114,120,0,E3,3,1.672,1.711,6.274,0.6710996864076068,17436.5,33.23
island-fixed,opt,uniform500,500,8,8,30,240,150,5,1,0.15,17325.1,8.75946,1.696,-1,120,116,120,0,E3,3,1.696,1.727,2.045,0.0865336380467507,17325.1,33.23
island-dtam,opt,uniform500,500,8,8,30,240,150,1,1,0.15,16711.1,4.90529,6.21,-1,110,110,120,0,E3,3,1.598,1.978,6.21,0.6408079235711245,16711.1,33.23
island-dtam,opt,uniform500,500,8,8,30,240,150,2,1,0.15,16816.9,5.56932,1.621,-1,112,112,120,0,E3,3,1.614,1.621,2.071,0.12088261389993245,16816.9,33.23
island-dtam,opt,uniform500,500,8,8,30,240,150,3,1,0.15,17367,9.02223,6.111,-1,115,115,120,0,E3,3,1.681,5.685,6.111,0.44420253161370093,17367.0,33.23
island-dtam,opt,uniform500,500,8,8,30,240,150,4,1,0.15,17456.9,9.58668,2.124,-1,114,114,120,0,E3,3,1.681,2.124,2.332,0.13270994175140016,17456.9,33.23
island-dtam,opt,uniform500,500,8,8,30,240,150,5,1,0.15,17313.8,8.68828,5.388,-1,113,113,120,0,E3,3,1.613,2.007,5.388,0.5642776512886619,17313.8,33.23
