mode,engine,instance,n,threads,islands,island_pop,total_pop,generations,seed,twoopt,tau,best_len,gap,total_time,time_to_target,migrations,stag_epochs,island_epochs,valid,exp,reps,t_min,t_med,t_max,t_cv,len_med,canary_drift_pct
island-fixed,opt,uniform500,500,1,8,30,240,150,1,1,0.15,16747.9,5.13596,6.309,-1,120,112,120,0,E3,3,5.834,6.309,9.882,0.24609177750301447,16747.9,33.23
island-fixed,opt,uniform500,500,1,8,30,240,150,2,1,0.15,17072,7.17033,5.989,-1,120,116,120,0,E3,3,5.88,5.989,6.217,0.023290343568885694,17072.0,33.23
island-fixed,opt,uniform500,500,1,8,30,240,150,3,1,0.15,17507.2,9.90264,6.14,-1,120,114,120,0,E3,3,6.121,6.14,11.025,0.2972561795107239,17507.2,33.23
island-fixed,opt,uniform500,500,1,8,30,240,150,4,1,0.15,17436.5,9.45878,5.744,-1,120,114,120,0,E3,3,5.744,6.026,12.857,0.4006149409783488,17436.5,33.23
island-fixed,opt,uniform500,500,1,8,30,240,150,5,1,0.15,17325.1,8.75946,5.764,-1,120,116,120,0,E3,3,5.764,6.071,7.091,0.08991016577047105,17325.1,33.23
island-dtam,opt,uniform500,500,1,8,30,240,150,1,1,0.15,16711.1,4.90529,6.122,-1,110,110,120,0,E3,3,5.753,6.122,6.226,0.033636611506903745,16711.1,33.23
island-dtam,opt,uniform500,500,1,8,30,240,150,2,1,0.15,16816.9,5.56932,6.15,-1,112,112,120,0,E3,3,6.024,6.15,6.868,0.05856680624095971,16816.9,33.23
island-dtam,opt,uniform500,500,1,8,30,240,150,3,1,0.15,17367,9.02223,6.194,-1,115,115,120,0,E3,3,6.036,6.194,6.289,0.0169040619067362,17367.0,33.23
island-dtam,opt,uniform500,500,1,8,30,240,150,4,1,0.15,17456.9,9.58668,5.786,-1,114,114,120,0,E3,3,5.786,6.124,6.283,0.03417350551624133,17456.9,33.23
island-dtam,opt,uniform500,500,1,8,30,240,150,5,1,0.15,17313.8,8.68828,6.37,-1,113,113,120,0,E3,3,5.884,6.045,6.37,0.03313937089659609,17313.8,33.23
island-fixed,opt,uniform500,500,2,8,30,240,150,1,1,0.15,16747.9,5.13596,2.967,-1,120,112,120,0,E3,3,2.967,3.062,3.067,0.015173893735534577,16747.9,33.23
island-fixed,opt,uniform500,500,2,8,30,240,150,2,1,0.15,17072,7.17033,2.957,-1,120,116,120,0,E3,3,2.92,2.957,3.167,0.036080237602055434,17072.0,33.23
island-fixed,opt,uniform500,500,2,8,30,240,150,3,1,0.15,17507.2,9.90264,3.047,-1,120,114,120,0,E3,3,3.047,3.107,3.11,0.009396773399317927,17507.2,33.23
island-fixed,opt,uniform500,500,2,8,30,240,150,4,1,0.15,17436.5,9.45878,2.94,-1,120,114,120,0,E3,3,2.932,2.94,3.016,0.012776840293949958,17436.5,33.23
island-fixed,opt,uniform500,500,2,8,30,240,150,5,1,0.15,17325.1,8.75946,2.916,-1,120,116,120,0,E3,3,2.874,2.916,2.98,0.014908970698910956,17325.1,33.23
island-dtam,opt,uniform500,500,2,8,30,240,150,1,1,0.15,16711.1,4.90529,2.954,-1,110,110,120,0,E3,3,2.954,2.991,3.001,0.006779176928261224,16711.1,33.23
island-dtam,opt,uniform500,500,2,8,30,240,150,2,1,0.15,16816.9,5.56932,2.934,-1,112,112,120,0,E3,3,2.934,2.985,3.281,0.04988479165600802,16816.9,33.23
