generation,elapsed,best_len,gap,diversity,migrations
5,0.0936649,18719,17.5099,0.452067,0
10,0.146339,18472.1,15.9599,0.387608,0
15,0.197226,18166.9,14.0441,0.375725,0
20,0.256043,18081.7,13.5092,0.351033,0
25,0.318246,17964.4,12.7725,0.332692,0
30,0.377356,17964.4,12.7725,0.289375,0
35,0.551368,17964.4,12.7725,0.290767,0
40,0.63402,17792.1,11.6911,0.292183,0
45,0.723241,17792.1,11.6911,0.273233,0
50,0.796488,17774.3,11.5796,0.26205,0
55,0.847141,17774.3,11.5796,0.263608,0
60,0.901818,17774.3,11.5796,0.247833,0
65,0.95101,17774.3,11.5796,0.263292,0
70,1.00678,17774.3,11.5796,0.2674,0
75,1.06049,17774.3,11.5796,0.288033,0
80,1.11727,17774.3,11.5796,0.288742,0
85,1.16838,17774.3,11.5796,0.270083,0
90,1.22318,17774.3,11.5796,0.259483,0
95,1.28014,17774.3,11.5796,0.308325,0
100,1.33268,17762.4,11.5047,0.316942,0
105,1.38855,17762.4,11.5047,0.2848,0
110,1.44278,17762.4,11.5047,0.2843,0
115,1.49906,17762.4,11.5047,0.284425,0
120,1.55475,17762.4,11.5047,0.285617,0
125,1.60491,17762.4,11.5047,0.283892,0
130,1.65544,17762.4,11.5047,0.250108,0
135,1.70888,17762.4,11.5047,0.239008,0
140,1.76178,17762.4,11.5047,0.258033,0
145,1.81616,17762.4,11.5047,0.268817,0
150,1.87022,17762.4,11.5047,0.277783,0
155,1.92513,17762.4,11.5047,0.2883,0
160,1.97775,17762.4,11.5047,0.269217,0
165,2.02926,17762.4,11.5047,0.243475,0
170,2.07846,17762.4,11.5047,0.241692,0
175,2.1299,17762.4,11.5047,0.244033,0
180,2.18347,17762.4,11.5047,0.251325,0
185,2.23522,17762.4,11.5047,0.267942,0
190,2.28972,17734.4,11.3286,0.315542,0
195,2.34665,17734.4,11.3286,0.255767,0
200,2.40117,17638.8,10.7287,0.279717,0
205,2.45497,17638.8,10.7287,0.259367,0
210,2.51267,17638.8,10.7287,0.262692,0
215,2.56579,17638.8,10.7287,0.248792,0
220,2.61681,17638.8,10.7287,0.241608,0
225,2.66621,17638.8,10.7287,0.243575,0
230,2.72554,17638.8,10.7287,0.230083,0
235,2.77888,17638.8,10.7287,0.208458,0
240,2.83212,17638.8,10.7287,0.222583,0
245,2.8829,17588.8,10.4149,0.2745,0
250,2.93621,17588.8,10.4149,0.286583,0
255,2.99825,17588.8,10.4149,0.259158,0
