generation,elapsed,best_len,gap,diversity,migrations
5,0.0834761,18531.1,16.3302,0.457158,0
10,0.142596,17878.5,12.2335,0.379917,0
15,0.193089,17778,11.6024,0.322933,0
20,0.244938,17559.5,10.2306,0.304825,0
25,0.296892,17534.1,10.0715,0.340983,0
30,0.348089,17534.1,10.0715,0.310992,0
35,0.402591,17214,8.06175,0.330058,0
40,0.45894,17190.5,7.91455,0.29265,0
45,0.51577,17190.5,7.91455,0.273383,0
50,0.566272,17190.5,7.91455,0.278883,0
55,0.621799,17190.5,7.91455,0.284858,0
60,0.674692,17190.5,7.91455,0.296433,0
65,0.722844,17190.5,7.91455,0.269842,0
70,0.777036,17190.5,7.91455,0.270942,0
75,0.829298,17190.5,7.91455,0.253008,0
80,0.884474,17190.5,7.91455,0.266817,0
85,0.933708,17190.5,7.91455,0.265158,0
90,0.986944,17162.4,7.73779,0.276167,0
95,1.03889,17162.4,7.73779,0.23025,0
100,1.09714,17162.4,7.73779,0.198567,0
105,1.15222,17162.4,7.73779,0.205475,0
110,1.20465,17162.4,7.73779,0.215258,0
115,1.25798,17162.4,7.73779,0.216433,0
120,1.3131,17162.4,7.73779,0.215992,0
125,1.36723,17162.4,7.73779,0.246833,0
130,1.41459,17162.4,7.73779,0.20785,0
135,1.4673,17162.4,7.73779,0.2275,0
140,1.52654,17162.4,7.73779,0.239008,0
145,1.58233,17162.4,7.73779,0.24965,0
150,1.63335,17162.4,7.73779,0.222383,0
155,1.68384,17162.4,7.73779,0.243067,0
160,1.73626,17162.4,7.73779,0.233467,0
165,1.78734,17162.4,7.73779,0.241808,0
170,1.83933,17162.4,7.73779,0.264133,0
175,1.89041,17162.4,7.73779,0.236908,0
180,1.9413,17162.4,7.73779,0.220275,0
185,1.99625,17162.4,7.73779,0.2312,0
190,2.0531,17162.4,7.73779,0.2491,0
195,2.1021,17162.4,7.73779,0.244775,0
200,2.15865,17162.4,7.73779,0.239617,0
205,2.21043,17162.4,7.73779,0.234417,0
210,2.25891,17162.4,7.73779,0.254533,0
215,2.31396,17162.4,7.73779,0.240292,0
220,2.36392,17012.3,6.79592,0.224658,0
225,2.41782,16966.4,6.50764,0.250192,0
230,2.47175,16966.4,6.50764,0.221633,0
235,2.52339,16966.4,6.50764,0.194833,0
240,2.57889,16966.4,6.50764,0.204992,0
245,2.62928,16966.4,6.50764,0.229508,0
250,2.67905,16966.4,6.50764,0.237375,0
255,2.73004,16966.4,6.50764,0.201475,0
260,2.78571,16966.4,6.50764,0.207908,0
265,2.84256,16966.4,6.50764,0.231475,0
270,2.89725,16966.4,6.50764,0.247458,0
275,2.95283,16966.4,6.50764,0.248583,0
280,3.00447,16966.4,6.50764,0.232192,0
