generation,elapsed,best_len,gap,diversity,migrations
10,0.023241,18259,14.6223,0.157317,1
20,0.046201,17879.1,12.2372,0.0431083,9
30,0.0675511,17789.3,11.6735,0.022075,17
40,0.090462,17789.3,11.6735,0.00460833,25
50,0.118316,17779.1,11.6093,0.00549167,33
60,0.147052,17779.1,11.6093,0.00333333,42
70,0.184389,17662.2,10.8754,0.00473333,49
80,0.219672,17662.2,10.8754,0.00309167,57
90,0.312565,17576.1,10.3349,0.0279083,65
100,0.399955,17512.2,9.93393,0.00474167,73
110,0.441375,17512.2,9.93393,0.00474167,81
120,0.479649,17512.2,9.93393,0.00173333,90
130,0.508626,17508.9,9.91337,0.01325,97
140,0.542582,17508.9,9.91337,0.00245,105
150,0.582452,17409.7,9.29058,0.00310833,113
160,0.628124,17409.7,9.29058,0.0024,121
170,0.686956,17358,8.96601,0.00285833,129
180,0.742082,17295,8.5704,0.00215833,137
190,0.789999,17295,8.5704,0.0026,145
200,0.842701,17269.2,8.40824,0.00264167,153
210,0.887164,17269.2,8.40824,0.00145833,161
220,0.941161,17269.2,8.40824,0.00245833,169
230,0.98721,17269.2,8.40824,0.001675,177
240,1.03221,17269.2,8.40824,0.00204167,185
250,1.06338,17269.2,8.40824,0.00195,193
260,1.09829,17269.2,8.40824,0.002225,201
270,1.13803,17248,8.27518,0.0032,209
280,1.18052,17222.1,8.11297,0.00410833,217
290,1.22673,17198.1,7.96206,0.00254167,225
300,1.27415,17151,7.66678,0.001975,233
310,1.31629,17151,7.66678,0.00226667,241
320,1.35619,17151,7.66678,0.00123333,249
330,1.42611,17151,7.66678,0.00198333,257
340,1.47073,17145.3,7.63048,0.002575,265
350,1.51131,17128.8,7.52737,0.00183333,273
360,1.55774,17128.8,7.52737,0.00189167,281
370,1.59558,17128.8,7.52737,0.0017,289
380,1.63831,17128.8,7.52737,0.00248333,297
390,1.68323,17122.7,7.48875,0.0019,305
400,1.73022,17122.7,7.48875,0.002275,313
410,1.77693,17122.7,7.48875,0.00208333,321
420,1.82804,17116.8,7.45164,0.00163333,329
430,1.87914,17116.8,7.45164,0.00201667,337
440,1.92574,17116.8,7.45164,0.00193333,345
450,1.97201,17116.8,7.45164,0.00229167,353
460,2.01719,17116.8,7.45164,0.00191667,361
470,2.07108,17064.8,7.12545,0.00233333,369
480,2.12144,17064.8,7.12545,0.00144167,377
490,2.16033,17062.5,7.11072,0.00286667,385
500,2.20594,17062.5,7.11072,0.00163333,393
510,2.2677,17050.1,7.03318,0.0016,401
520,2.31184,17050.1,7.03318,0.00160833,409
530,2.35548,17040.4,6.97207,0.00180833,417
540,2.40348,17040.4,6.97207,0.00190833,425
550,2.45056,17038,6.95733,0.0019,433
560,2.4982,17038,6.95733,0.00205833,441
570,2.54978,17038,6.95733,0.00180833,449
580,2.60588,17038,6.95733,0.00138333,457
590,2.65394,17038,6.95733,0.00156667,465
600,2.69992,17036.3,6.94644,0.00164167,473
610,2.74472,17036.3,6.94644,0.00194167,481
620,2.78626,17032,6.9197,0.0018,489
630,2.83396,17032,6.9197,0.00285,497
640,2.87542,17030.3,6.90881,0.00149167,505
650,2.91367,17030.3,6.90881,0.00278333,513
660,2.95743,17023.4,6.86566,0.00259167,521
670,3.00001,17023.4,6.86566,0.00208333,529
