generation,elapsed,best_len,gap,diversity,migrations
10,0.0206389,18170,14.0631,0.1894,1
20,0.0405121,17750.5,11.43,0.04395,9
30,0.0594389,17696.6,11.0914,0.0187417,17
40,0.079694,17571.6,10.3071,0.0108167,25
50,0.108239,17539.1,10.1028,0.00730833,33
60,0.152144,17522.9,10.0013,0.00165833,41
70,0.208242,17498.3,9.84677,0.00341667,49
80,0.259078,17498.3,9.84677,0.00178333,57
90,0.309539,17339.6,8.85039,0.008975,65
100,0.34459,17339.6,8.85039,0.00323333,73
110,0.375998,17266.8,8.39366,0.00945833,81
120,0.404924,17249.2,8.28314,0.00230833,89
130,0.436976,17246.3,8.26503,0.00183333,97
140,0.473338,17246.3,8.26503,0.0185917,105
150,0.512805,17207.7,8.02219,0.0029,113
160,0.555614,17204.8,8.00408,0.00315,121
170,0.599604,17204.8,8.00408,0.00186667,129
180,0.627786,17202.1,7.98739,0.00219167,137
190,0.658766,17170.5,7.78893,0.0022,145
200,0.695192,17170.5,7.78893,0.00198333,153
210,0.731299,17170.5,7.78893,0.001,161
220,0.77353,17162.8,7.74072,0.00181667,169
230,0.809117,17159.8,7.72167,0.00228333,177
240,0.853553,17128.6,7.52556,0.00189167,186
250,0.898782,17128.6,7.52556,0.00231667,193
260,0.937677,17124.2,7.49801,0.0031,201
270,0.981323,17114.8,7.43955,0.00241667,209
280,1.02329,17114.8,7.43955,0.00278333,217
290,1.06224,17106.9,7.38962,0.00221667,226
300,1.10512,17106.9,7.38962,0.00274167,233
310,1.15169,17096.4,7.32396,0.00165833,241
320,1.19848,17096.2,7.32237,0.0019,249
330,1.2326,17088.5,7.27403,0.00273333,257
340,1.28269,17082.7,7.23795,0.00285833,265
350,1.32634,17082.7,7.23787,0.00190833,273
360,1.35489,17074.8,7.18793,0.00304167,281
370,1.38508,17074.8,7.18793,0.00161667,289
380,1.41561,17074.7,7.18727,0.00203333,297
390,1.45696,17042.7,6.98651,0.00248333,305
400,1.49292,17038.9,6.9628,0.00264167,313
410,1.53068,17002.7,6.7355,0.001425,321
420,1.57141,16990.2,6.65686,0.00140833,329
430,1.61832,16990.2,6.65686,0.00203333,337
440,1.65818,16990.2,6.65686,0.00215,345
450,1.69123,16990.2,6.65686,0.00200833,353
460,1.72855,16983.3,6.61362,0.00173333,361
470,1.76498,16970.8,6.53497,0.00194167,369
480,1.80302,16970.8,6.53497,0.00129167,377
490,1.84335,16970.8,6.53497,0.00235,385
500,1.87601,16970.8,6.53497,0.001425,393
510,1.90553,16970.8,6.53497,0.00239167,401
520,1.94394,16970.8,6.53497,0.00153333,409
530,1.9825,16966.5,6.50818,0.002275,417
540,2.033,16938.1,6.3297,0.00278333,425
550,2.07976,16938.1,6.3297,0.0031,433
560,2.10955,16938.1,6.3297,0.00163333,441
570,2.14183,16935.1,6.31102,0.00229167,449
580,2.18118,16935.1,6.31102,0.00175833,457
590,2.21899,16935.1,6.31102,0.00169167,465
600,2.25835,16935.1,6.31102,0.00283333,473
610,2.3043,16935.1,6.31102,0.002425,481
620,2.33943,16916.8,6.19638,0.001275,489
630,2.37233,16916.8,6.19638,0.002225,497
640,2.41092,16916.8,6.19638,0.00185833,505
650,2.45126,16916.8,6.19638,0.00236667,513
660,2.48923,16916.8,6.19638,0.00160833,521
670,2.5392,16916.6,6.19521,0.00148333,529
680,2.57705,16916.6,6.19521,0.00216667,537
690,2.61959,16916.6,6.19521,0.00173333,545
700,2.65555,16916.6,6.19521,0.00185833,553
710,2.69742,16916.6,6.19521,0.00216667,561
720,2.74193,16916.6,6.19521,0.0017,569
730,2.78376,16916.6,6.19521,0.002,577
740,2.81026,16909.9,6.15312,0.00213333,585
750,2.84,16902.7,6.10791,0.00204167,593
760,2.87546,16884.5,5.9938,0.00405,601
770,2.91113,16862.6,5.85628,0.00186667,609
780,2.94625,16842.3,5.72842,0.00375833,617
790,2.9782,16842.3,5.72842,0.00155,625
800,3.01638,16842.3,5.72842,0.00234167,633
