generation,elapsed,best_len,gap,diversity,migrations
10,0.042495,18170,14.0631,0.1894,0
20,0.0819781,17834.1,11.9549,0.0524667,2
30,0.122153,17562.7,10.251,0.0661667,10
40,0.163341,17389.6,9.16439,0.0183917,17
50,0.209931,17386.1,9.14205,0.00226667,25
60,0.266682,17327.1,8.77217,0.00225833,33
70,0.307777,17297.4,8.58561,0.00225833,41
80,0.3433,17278.5,8.46699,0.00196667,49
90,0.381696,17266.9,8.39394,0.002525,57
100,0.420325,17254.8,8.31816,0.00219167,65
110,0.461224,17254.8,8.31816,0.00183333,73
120,0.497301,17226.6,8.14087,0.00165833,81
130,0.529756,17226.6,8.14087,0.00188333,89
140,0.57426,17190.7,7.91598,0.00399167,97
150,0.610576,17156.8,7.70289,0.00458333,105
160,0.645648,17116.2,7.44776,0.00424167,113
170,0.683279,17096.4,7.3237,0.00179167,121
180,0.723406,17096.4,7.3237,0.002525,129
190,0.759182,17095.7,7.31957,0.00255,137
200,0.796657,17095.7,7.31957,0.00255833,145
210,0.833169,17095.7,7.31957,0.00129167,153
220,0.87151,17095.7,7.31957,0.002375,161
230,0.908595,17095.7,7.31957,0.00224167,169
240,0.942428,17095.7,7.31957,0.00175,177
250,0.978063,17095.7,7.31957,0.00196667,185
260,1.01532,17095.7,7.31957,0.00229167,193
270,1.06193,17095.7,7.31957,0.00285,201
280,1.09857,17094.8,7.31394,0.00218333,209
290,1.13443,17094.8,7.31394,0.00193333,217
300,1.16833,17094.8,7.31394,0.001975,225
310,1.20453,17094.8,7.31394,0.0018,233
320,1.24176,17094.8,7.31394,0.00174167,241
330,1.27984,17087.5,7.26773,0.0033,249
340,1.32118,17087.5,7.26773,0.00313333,257
350,1.35689,17087.5,7.26773,0.002375,265
360,1.39069,17067.4,7.14196,0.00436667,273
370,1.42377,17023.5,6.86625,0.00243333,281
380,1.45741,17023.5,6.86625,0.002275,289
390,1.49484,17023.5,6.86625,0.0016,297
400,1.53645,17023.5,6.86625,0.00173333,305
410,1.57491,17023.5,6.86625,0.00185833,313
420,1.61459,17001.3,6.72665,0.002675,321
430,1.65255,16994.5,6.68394,0.00585,329
440,1.6842,16967.2,6.51265,0.00269167,337
450,1.72381,16967.2,6.51265,0.00231667,346
460,1.75715,16960.1,6.46822,0.0019,353
470,1.79713,16960.1,6.46822,0.00191667,361
480,1.83303,16960.1,6.46822,0.00158333,369
490,1.86901,16960.1,6.46822,0.00226667,377
500,1.90609,16960.1,6.46822,0.00155,385
510,1.94444,16960.1,6.46822,0.002225,393
520,1.98116,16960.1,6.46822,0.00183333,401
530,2.01725,16960.1,6.46822,0.00224167,409
540,2.06038,16960.1,6.46822,0.00238333,417
550,2.10207,16956.2,6.44348,0.00250833,425
560,2.15283,16956.2,6.44348,0.001625,433
570,2.19555,16956.2,6.44348,0.00150833,441
580,2.237,16956.2,6.44348,0.00165833,449
590,2.27953,16956.2,6.44348,0.00205,457
600,2.31593,16956.2,6.44348,0.00205,466
610,2.35638,16956.2,6.44348,0.00261667,473
620,2.40387,16956.2,6.44348,0.00160833,481
630,2.4453,16956.2,6.44348,0.002025,489
640,2.4869,16956.2,6.44348,0.00218333,498
650,2.52379,16956.2,6.44348,0.00240833,505
660,2.56847,16956.2,6.44348,0.0016,513
670,2.60395,16956.2,6.44348,0.00165,521
680,2.63792,16956.2,6.44348,0.0026,529
690,2.67372,16956.2,6.44348,0.002,537
700,2.71211,16956.2,6.44348,0.00190833,545
710,2.75649,16956.2,6.44348,0.00248333,553
720,2.79889,16956.2,6.44348,0.00225,561
730,2.84501,16956.2,6.44348,0.00500833,569
740,2.88193,16956.2,6.44348,0.00226667,577
750,2.91603,16956.2,6.44348,0.00205,585
760,2.95058,16956.2,6.44348,0.00194167,593
770,2.98885,16956.2,6.44348,0.00195,601
780,3.02515,16956.2,6.44348,0.00200833,609
