generation,elapsed,best_len,gap,diversity,migrations
10,0.0251849,17805.9,11.7779,0.177925,1
20,0.048629,17495.8,9.83125,0.0582917,9
30,0.069206,17447.6,9.5281,0.00864167,17
40,0.0969019,17422.7,9.3721,0.0468,25
50,0.125738,17397,9.2108,0.0272833,33
60,0.154441,17342.2,8.86686,0.00495833,41
70,0.17584,17313.9,8.68903,0.00405833,49
80,0.196495,17245.3,8.25869,0.00780833,57
90,0.220677,17217.3,8.0824,0.00528333,65
100,0.241313,17209.7,8.03516,0.00516667,73
110,0.264743,17202.9,7.99226,0.00366667,81
120,0.288816,17200.3,7.97572,0.00228333,89
130,0.315291,17124.2,7.49851,0.006575,97
140,0.346609,17124.2,7.49851,0.00191667,105
150,0.381857,17124.2,7.49851,0.00255833,113
160,0.44653,17103.1,7.3656,0.00211667,121
170,0.519448,17103.1,7.3656,0.00174167,129
180,0.580127,17072.5,7.17349,0.00195833,137
190,0.620291,17072.5,7.17349,0.002,145
200,0.663187,17072.5,7.17349,0.002075,153
210,0.714269,17027.7,6.89232,0.00105833,161
220,0.780481,17012.7,6.79859,0.00285,170
230,0.852275,17012.7,6.79859,0.00399167,177
240,0.898863,16982.7,6.60986,0.00165,185
250,0.964619,16974.3,6.55754,0.00278333,193
260,1.00571,16973.3,6.55078,0.00186667,201
270,1.04386,16973.3,6.55078,0.00221667,209
280,1.08424,16963,6.48643,0.002375,217
290,1.13175,16963,6.48643,0.00188333,225
300,1.17341,16963,6.48643,0.00179167,234
310,1.21652,16963,6.48643,0.0015,241
320,1.25911,16963,6.48643,0.00120833,249
330,1.32343,16963,6.48643,0.00226667,257
340,1.36881,16963,6.48643,0.002075,265
350,1.41378,16963,6.48643,0.00199167,273
360,1.4547,16963,6.48643,0.001725,281
370,1.50335,16957,6.44834,0.002725,289
380,1.54169,16957,6.44834,0.00175833,297
390,1.58494,16957,6.44834,0.001625,305
400,1.62763,16957,6.44834,0.00209167,313
410,1.67172,16948.2,6.39311,0.00193333,321
420,1.71834,16948.2,6.39311,0.00214167,329
430,1.75805,16948.2,6.39311,0.00201667,337
440,1.79876,16948.2,6.39311,0.00283333,345
450,1.84206,16948.2,6.39311,0.0013,353
460,1.88537,16948.2,6.39311,0.00173333,361
470,1.93397,16948.2,6.39311,0.001975,369
480,1.97772,16948.2,6.39311,0.00166667,377
490,2.01768,16948.2,6.39311,0.00260833,385
500,2.06505,16940.3,6.3441,0.00175,393
510,2.10578,16940.3,6.3441,0.00165833,401
520,2.14971,16940.3,6.3441,0.00151667,409
530,2.18924,16940.3,6.3441,0.00135,417
540,2.22694,16940.3,6.3441,0.00181667,425
550,2.274,16940.3,6.3441,0.00186667,433
560,2.32028,16940.3,6.3441,0.00204167,441
570,2.37404,16940.3,6.3441,0.00181667,449
580,2.42208,16920.6,6.22042,0.00154167,457
590,2.46877,16920.6,6.22042,0.00260833,465
600,2.5111,16920.6,6.22042,0.00184167,473
610,2.55352,16920.6,6.22042,0.00270833,481
620,2.59429,16913,6.1727,0.002025,489
630,2.63717,16913,6.1727,0.00170833,497
640,2.68052,16910.6,6.15719,0.00171667,505
650,2.72478,16910.5,6.15679,0.002775,513
660,2.77025,16900.4,6.09356,0.00201667,521
670,2.8059,16900.4,6.09356,0.001725,529
680,2.84734,16900.4,6.09356,0.00290833,537
690,2.89182,16886.6,6.00669,0.001725,545
700,2.93274,16886.6,6.00669,0.00195833,553
710,2.97369,16879.3,5.9608,0.00373333,561
720,3.01779,16879.3,5.9608,0.00223333,569
