generation,elapsed,best_len,gap,diversity,migrations
10,0.0214579,18461.9,15.8955,0.212808,1
20,0.0445819,18007.7,13.0446,0.0954,9
30,0.0638418,17885.9,12.2796,0.03615,17
40,0.080972,17749.5,11.4234,0.0144167,25
50,0.1002,17724,11.2633,0.00549167,33
60,0.120785,17604.7,10.5148,0.0045,41
70,0.142254,17561.9,10.2461,0.00215833,49
80,0.164229,17561.9,10.2461,0.00729167,57
90,0.183591,17561.9,10.2461,0.0107583,65
100,0.209345,17561.9,10.2461,0.003775,73
110,0.234036,17560.4,10.2367,0.00256667,81
120,0.25633,17517.6,9.96798,0.00426667,89
130,0.275128,17456.9,9.58673,0.009975,97
140,0.297046,17381.4,9.11256,0.00250833,105
150,0.316583,17381.4,9.11256,0.00515,113
160,0.334935,17320.6,8.73117,0.00455833,121
170,0.36259,17320.6,8.73117,0.00173333,129
180,0.381876,17320.6,8.73117,0.00231667,137
190,0.403019,17310.2,8.66566,0.00195833,145
200,0.422784,17310.2,8.66566,0.00225833,153
210,0.442721,17287.6,8.52425,0.00136667,161
220,0.470079,17287.6,8.52425,0.00268333,169
230,0.497754,17287.6,8.52425,0.002,177
240,0.525223,17287.6,8.52425,0.0018,185
250,0.553678,17287.6,8.52425,0.00391667,193
260,0.582834,17278,8.46344,0.00175833,201
270,0.608654,17278,8.46344,0.00225833,209
280,0.638118,17278,8.46344,0.00305,217
290,0.690049,17278,8.46344,0.002075,229
300,0.765426,17278,8.46344,0.00179167,233
310,0.830597,17278,8.46344,0.00180833,241
320,0.866843,17274,8.43857,0.00129167,249
330,0.905228,17274,8.43857,0.00230833,257
340,0.937427,17270,8.41357,0.00275,265
350,0.974922,17270,8.41357,0.00255,273
360,1.01125,17270,8.41357,0.00211667,281
370,1.04336,17266.3,8.39012,0.00196667,289
380,1.08014,17266.3,8.39012,0.00218333,297
390,1.11533,17266.3,8.39012,0.001825,305
400,1.15645,17266.3,8.39012,0.002125,313
410,1.20471,17266.3,8.39012,0.00170833,321
420,1.24158,17266.3,8.39012,0.001575,329
430,1.27833,17266.3,8.39012,0.00204167,337
440,1.3136,17266.3,8.39012,0.00244167,345
450,1.35186,17259,8.34422,0.00196667,353
460,1.39533,17259,8.34422,0.00153333,361
470,1.43625,17259,8.34422,0.001875,369
480,1.47108,17259,8.34422,0.00128333,377
490,1.50489,17254.5,8.31597,0.00209167,385
500,1.53798,17254.5,8.31597,0.002075,393
510,1.57467,17254.5,8.31597,0.001975,401
520,1.61682,17221.4,8.1083,0.00173333,409
530,1.65369,17221.4,8.1083,0.00156667,417
540,1.68753,17221.4,8.1083,0.003375,425
550,1.72785,17216.9,8.08005,0.00189167,433
560,1.76799,17216.9,8.08005,0.0018,441
570,1.80419,17216.9,8.08005,0.00174167,449
580,1.83932,17216.9,8.08005,0.00158333,457
590,1.88379,17216.9,8.08005,0.00200833,465
600,1.91851,17216.9,8.08005,0.00159167,473
610,1.95038,17216.9,8.08005,0.00235,481
620,1.98577,17216.9,8.08005,0.00201667,489
630,2.0243,17167.9,7.77236,0.0042,497
640,2.06385,17153.1,7.67958,0.00883333,505
650,2.10091,17153.1,7.67958,0.0029,513
660,2.14077,17153.1,7.67958,0.00185833,521
670,2.17297,17153.1,7.67958,0.00148333,529
680,2.22139,17153.1,7.67958,0.0024,537
690,2.25468,17153.1,7.67958,0.001725,545
700,2.29019,17152.9,7.67813,0.00216667,553
710,2.32898,17134.2,7.56089,0.002275,561
720,2.36691,17134.2,7.56089,0.001275,569
730,2.40183,17134.2,7.56089,0.00211667,581
740,2.43773,17122.8,7.48969,0.00271667,585
750,2.61351,17122.8,7.48969,0.00185,593
760,2.64908,17122.8,7.48969,0.00168333,601
770,2.68592,17122.8,7.48969,0.0014,609
780,2.73166,17117.8,7.45785,0.00175833,617
790,2.7709,17104.2,7.37245,0.001725,625
800,2.81041,17104.2,7.37245,0.00213333,633
810,2.84982,17103.4,7.36782,0.00140833,641
820,2.89261,17103.4,7.36782,0.00176667,649
830,2.93164,17103.4,7.36782,0.00154167,657
840,2.96819,17103.4,7.36782,0.001975,665
850,3.00885,17087.7,7.26941,0.0014,673
